timestep_2,region_2,carrier_1,carrier_2,parameter,value,comments
all,AL,biomass,wood,trdBuyUp,3759.234132,
all,AT,biomass,wood,trdBuyUp,25017.96039,
all,BA,biomass,wood,trdBuyUp,6393.235576,
all,BE,biomass,wood,trdBuyUp,0,
all,BG,biomass,wood,trdBuyUp,15725.81137,
all,CH,biomass,wood,trdBuyUp,27497.43553,
all,CZ,biomass,wood,trdBuyUp,28571.47801,
all,DE,biomass,wood,trdBuyUp,75973.30719,
all,DK,biomass,wood,trdBuyUp,17080.30185,
all,EE,biomass,wood,trdBuyUp,10991.49214,
all,ES,biomass,wood,trdBuyUp,69009.23432,
all,FI,biomass,wood,trdBuyUp,50966.83473,
all,FR,biomass,wood,trdBuyUp,62106.9807,
all,GR,biomass,wood,trdBuyUp,0,
all,HR,biomass,wood,trdBuyUp,4602.729686,
all,HU,biomass,wood,trdBuyUp,28002.91485,
all,IE,biomass,wood,trdBuyUp,7310.828643,
all,IT,biomass,wood,trdBuyUp,16881.06037,
all,LT,biomass,wood,trdBuyUp,0,
all,LU,biomass,wood,trdBuyUp,909.4887294,
all,LV,biomass,wood,trdBuyUp,22059.8766,
all,ME,biomass,wood,trdBuyUp,7169.838191,
all,MK,biomass,wood,trdBuyUp,4167.011276,
all,NL,biomass,wood,trdBuyUp,0,
all,NO,biomass,wood,trdBuyUp,26643.14826,
all,PL,biomass,wood,trdBuyUp,61857.83553,
all,PT,biomass,wood,trdBuyUp,2522.867535,
all,RO,biomass,wood,trdBuyUp,61037.39196,
all,RS,biomass,wood,trdBuyUp,24838.09697,
all,SE,biomass,wood,trdBuyUp,97957.10656,
all,SI,biomass,wood,trdBuyUp,10744.61675,
all,SK,biomass,wood,trdBuyUp,14792.81617,
all,UK,biomass,wood,trdBuyUp,0,
all,AL,biomass,greenWaste,trdBuyUp,503.0877471,
all,AT,biomass,greenWaste,trdBuyUp,1321.914161,
all,BA,biomass,greenWaste,trdBuyUp,448.3572247,
all,BE,biomass,greenWaste,trdBuyUp,10742.80638,
all,BG,biomass,greenWaste,trdBuyUp,2738.102666,
all,CH,biomass,greenWaste,trdBuyUp,5167.665136,
all,CZ,biomass,greenWaste,trdBuyUp,11707.97141,
all,DE,biomass,greenWaste,trdBuyUp,29337.96798,
all,DK,biomass,greenWaste,trdBuyUp,12021.31842,
all,EE,biomass,greenWaste,trdBuyUp,2311.868132,
all,ES,biomass,greenWaste,trdBuyUp,30466.68754,
all,FI,biomass,greenWaste,trdBuyUp,2233.984917,
all,FR,biomass,greenWaste,trdBuyUp,71777.25098,
all,GR,biomass,greenWaste,trdBuyUp,2126.402344,
all,HR,biomass,greenWaste,trdBuyUp,903.3123517,
all,HU,biomass,greenWaste,trdBuyUp,17686.3654,
all,IE,biomass,greenWaste,trdBuyUp,5097.422399,
all,IT,biomass,greenWaste,trdBuyUp,32106.36474,
all,LT,biomass,greenWaste,trdBuyUp,4691.813627,
all,LU,biomass,greenWaste,trdBuyUp,436.8550531,
all,LV,biomass,greenWaste,trdBuyUp,2354.523375,
all,ME,biomass,greenWaste,trdBuyUp,69.23311296,
all,MK,biomass,greenWaste,trdBuyUp,218.4554855,
all,NL,biomass,greenWaste,trdBuyUp,13561.58366,
all,NO,biomass,greenWaste,trdBuyUp,9291.363665,
all,PL,biomass,greenWaste,trdBuyUp,26212.28808,
all,PT,biomass,greenWaste,trdBuyUp,7656.305405,
all,RO,biomass,greenWaste,trdBuyUp,5969.327594,
all,RS,biomass,greenWaste,trdBuyUp,2904.586435,
all,SE,biomass,greenWaste,trdBuyUp,7875.223089,
all,SI,biomass,greenWaste,trdBuyUp,413.0155143,
all,SK,biomass,greenWaste,trdBuyUp,3445.82794,
all,UK,biomass,greenWaste,trdBuyUp,44947.14242,
all,AL,biomass,sludge,trdBuyUp,50.30877471,Assumption 1/10 of greenwaste
all,AT,biomass,sludge,trdBuyUp,132.1914161,Assumption 1/10 of greenwaste
all,BA,biomass,sludge,trdBuyUp,44.83572247,Assumption 1/10 of greenwaste
all,BE,biomass,sludge,trdBuyUp,1074.280638,Assumption 1/10 of greenwaste
all,BG,biomass,sludge,trdBuyUp,273.8102666,Assumption 1/10 of greenwaste
all,CH,biomass,sludge,trdBuyUp,516.7665136,Assumption 1/10 of greenwaste
all,CZ,biomass,sludge,trdBuyUp,1170.797141,Assumption 1/10 of greenwaste
all,DE,biomass,sludge,trdBuyUp,2933.796798,Assumption 1/10 of greenwaste
all,DK,biomass,sludge,trdBuyUp,1202.131842,Assumption 1/10 of greenwaste
all,EE,biomass,sludge,trdBuyUp,231.1868132,Assumption 1/10 of greenwaste
all,ES,biomass,sludge,trdBuyUp,3046.668754,Assumption 1/10 of greenwaste
all,FI,biomass,sludge,trdBuyUp,223.3984917,Assumption 1/10 of greenwaste
all,FR,biomass,sludge,trdBuyUp,7177.725098,Assumption 1/10 of greenwaste
all,GR,biomass,sludge,trdBuyUp,212.6402344,Assumption 1/10 of greenwaste
all,HR,biomass,sludge,trdBuyUp,90.33123517,Assumption 1/10 of greenwaste
all,HU,biomass,sludge,trdBuyUp,1768.63654,Assumption 1/10 of greenwaste
all,IE,biomass,sludge,trdBuyUp,509.7422399,Assumption 1/10 of greenwaste
all,IT,biomass,sludge,trdBuyUp,3210.636474,Assumption 1/10 of greenwaste
all,LT,biomass,sludge,trdBuyUp,469.1813627,Assumption 1/10 of greenwaste
all,LU,biomass,sludge,trdBuyUp,43.68550531,Assumption 1/10 of greenwaste
all,LV,biomass,sludge,trdBuyUp,235.4523375,Assumption 1/10 of greenwaste
all,ME,biomass,sludge,trdBuyUp,6.923311296,Assumption 1/10 of greenwaste
all,MK,biomass,sludge,trdBuyUp,21.84554855,Assumption 1/10 of greenwaste
all,NL,biomass,sludge,trdBuyUp,1356.158366,Assumption 1/10 of greenwaste
all,NO,biomass,sludge,trdBuyUp,929.1363665,Assumption 1/10 of greenwaste
all,PL,biomass,sludge,trdBuyUp,2621.228808,Assumption 1/10 of greenwaste
all,PT,biomass,sludge,trdBuyUp,765.6305405,Assumption 1/10 of greenwaste
all,RO,biomass,sludge,trdBuyUp,596.9327594,Assumption 1/10 of greenwaste
all,RS,biomass,sludge,trdBuyUp,290.4586435,Assumption 1/10 of greenwaste
all,SE,biomass,sludge,trdBuyUp,787.5223089,Assumption 1/10 of greenwaste
all,SI,biomass,sludge,trdBuyUp,41.30155143,Assumption 1/10 of greenwaste
all,SK,biomass,sludge,trdBuyUp,344.582794,Assumption 1/10 of greenwaste
all,UK,biomass,sludge,trdBuyUp,4494.714242,Assumption 1/10 of greenwaste
all,AL,biomass,waste,trdBuyUp,503.0877471,Assumption same as greenwaste
all,AT,biomass,waste,trdBuyUp,1321.914161,Assumption same as greenwaste
all,BA,biomass,waste,trdBuyUp,448.3572247,Assumption same as greenwaste
all,BE,biomass,waste,trdBuyUp,10742.80638,Assumption same as greenwaste
all,BG,biomass,waste,trdBuyUp,2738.102666,Assumption same as greenwaste
all,CH,biomass,waste,trdBuyUp,5167.665136,Assumption same as greenwaste
all,CZ,biomass,waste,trdBuyUp,11707.97141,Assumption same as greenwaste
all,DE,biomass,waste,trdBuyUp,29337.96798,Assumption same as greenwaste
all,DK,biomass,waste,trdBuyUp,12021.31842,Assumption same as greenwaste
all,EE,biomass,waste,trdBuyUp,2311.868132,Assumption same as greenwaste
all,ES,biomass,waste,trdBuyUp,30466.68754,Assumption same as greenwaste
all,FI,biomass,waste,trdBuyUp,2233.984917,Assumption same as greenwaste
all,FR,biomass,waste,trdBuyUp,71777.25098,Assumption same as greenwaste
all,GR,biomass,waste,trdBuyUp,2126.402344,Assumption same as greenwaste
all,HR,biomass,waste,trdBuyUp,903.3123517,Assumption same as greenwaste
all,HU,biomass,waste,trdBuyUp,17686.3654,Assumption same as greenwaste
all,IE,biomass,waste,trdBuyUp,5097.422399,Assumption same as greenwaste
all,IT,biomass,waste,trdBuyUp,32106.36474,Assumption same as greenwaste
all,LT,biomass,waste,trdBuyUp,4691.813627,Assumption same as greenwaste
all,LU,biomass,waste,trdBuyUp,436.8550531,Assumption same as greenwaste
all,LV,biomass,waste,trdBuyUp,2354.523375,Assumption same as greenwaste
all,ME,biomass,waste,trdBuyUp,69.23311296,Assumption same as greenwaste
all,MK,biomass,waste,trdBuyUp,218.4554855,Assumption same as greenwaste
all,NL,biomass,waste,trdBuyUp,13561.58366,Assumption same as greenwaste
all,NO,biomass,waste,trdBuyUp,9291.363665,Assumption same as greenwaste
all,PL,biomass,waste,trdBuyUp,26212.28808,Assumption same as greenwaste
all,PT,biomass,waste,trdBuyUp,7656.305405,Assumption same as greenwaste
all,RO,biomass,waste,trdBuyUp,5969.327594,Assumption same as greenwaste
