technology_3,carrier_1,carrier_2,parameter,value,source
htgDigestate,,,avaConv,0.912307692,Assumption
htgGreenWaste,,,avaConv,0.912307692,Assumption
htgSludge,,,avaConv,0.912307692,Assumption
htgManure,,,avaConv,0.912307692,Assumption
htlSludge,,,avaConv,0.923076923,Assumption
htlGreenWaste,,,avaConv,0.923076923,Assumption
htlManure,,,avaConv,0.923076923,Assumption
biochemicalWoodOil,,,avaConv,0.9,Assumption
pyrWood,,,avaConv,0.906978022,Assumption
pyrGreenWaste,,,avaConv,0.906978022,Assumption
pyrWaste,,,avaConv,0.906978022,Assumption
gasificationGreenWasteSyngas,,,avaConv,0.912307692,Assumption
gasificationWoodSyngas,,,avaConv,0.912307692,Assumption
Methanation,,,avaConv,0.961538462,Assumption
MethanationWithH2,,,avaConv,0.921538462,Assumption
fischerTropsch,,,avaConv,0.9,Assumption
waterGasShift,,,avaConv,0.9,Assumption
digestionManure,,,avaConv,0.97260274,Assumption
digestionGreenWaste,,,avaConv,0.97260274,Assumption
digestionSludge,,,avaConv,0.97260274,Assumption
biogasUpgrade,,,avaConv,0.921538462,Assumption
pyrWoodCoalDh,,,avaConv,0.906978022,Assumption
pyrWoodCoalProLow,,,avaConv,0.906978022,Assumption
pyrMethaneH2,,,avaConv,0.675549451,Assumption
htcDigestate,,,avaConv,0.9,Assumption
biomassToHvc,,,avaConv,0.9,Assumption
htgDigestate,,,costExpConv,1550,Assumption
htgGreenWaste,,,costExpConv,1550,Assumption
htgSludge,,,costExpConv,1550,Assumption
htgManure,,,costExpConv,1550,Assumption
htlSludge,,,costExpConv,957.1880109,Assumption
htlGreenWaste,,,costExpConv,957.1880109,Assumption
htlManure,,,costExpConv,957.1880109,Assumption
biochemicalWoodOil,,,costExpConv,1000,Assumption
pyrWood,,,costExpConv,687.7192982,Assumption
pyrGreenWaste,,,costExpConv,687.7192982,Assumption
pyrWaste,,,costExpConv,687.7192982,Assumption
gasificationGreenWasteSyngas,,,costExpConv,1550,Assumption
gasificationWoodSyngas,,,costExpConv,1550,Assumption
Methanation,,,costExpConv,258.5,Assumption
MethanationWithH2,,,costExpConv,604.8,Assumption
fischerTropsch,,,costExpConv,1000,Assumption
waterGasShift,,,costExpConv,1000,Assumption
digestionManure,,,costExpConv,1462.641688,Assumption
digestionGreenWaste,,,costExpConv,1462.641688,Assumption
digestionSludge,,,costExpConv,1462.641688,Assumption
biogasUpgrade,,,costExpConv,604.8,Assumption
pyrWoodCoalDh,,,costExpConv,687.7192982,Assumption
pyrWoodCoalProLow,,,costExpConv,687.7192982,Assumption
pyrMethaneH2,,,costExpConv,309.225,Assumption
htcDigestate,,,costExpConv,1550,Assumption
biomassToHvc,,,costExpConv,1000,Assumption
htgDigestate,,,costOprConv,25.15,Assumption
htgGreenWaste,,,costOprConv,25.15,Assumption
htgSludge,,,costOprConv,25.15,Assumption
htgManure,,,costOprConv,25.15,Assumption
htlSludge,,,costOprConv,51.47901907,Assumption
htlGreenWaste,,,costOprConv,51.47901907,Assumption
htlManure,,,costOprConv,51.47901907,Assumption
biochemicalWoodOil,,,costOprConv,30,Assumption
pyrWood,,,costOprConv,44,Assumption
pyrGreenWaste,,,costOprConv,44,Assumption
pyrWaste,,,costOprConv,44,Assumption
gasificationGreenWasteSyngas,,,costOprConv,25.15,Assumption
gasificationWoodSyngas,,,costOprConv,25.15,Assumption
Methanation,,,costOprConv,9.05,Assumption
MethanationWithH2,,,costOprConv,24.192,Assumption
fischerTropsch,,,costOprConv,30,Assumption
waterGasShift,,,costOprConv,30,Assumption
digestionManure,,,costOprConv,196.7123731,Assumption
digestionGreenWaste,,,costOprConv,196.7123731,Assumption
digestionSludge,,,costOprConv,196.7123731,Assumption
biogasUpgrade,,,costOprConv,24.192,Assumption
pyrWoodCoalDh,,,costOprConv,44,Assumption
pyrWoodCoalProLow,,,costOprConv,44,Assumption
pyrMethaneH2,,,costOprConv,6.1845,Assumption
htcDigestate,,,costOprConv,30,Assumption
biomassToHvc,,,costOprConv,30,Assumption
htgDigestate,,,lifeConv,20,Assumption
htgGreenWaste,,,lifeConv,20,Assumption
htgSludge,,,lifeConv,20,Assumption
htgManure,,,lifeConv,20,Assumption
htlSludge,,,lifeConv,20,Assumption
htlGreenWaste,,,lifeConv,20,Assumption
htlManure,,,lifeConv,20,Assumption
biochemicalWoodOil,,,lifeConv,20,Assumption
pyrWood,,,lifeConv,20,Assumption
pyrGreenWaste,,,lifeConv,20,Assumption
pyrWaste,,,lifeConv,20,Assumption
gasificationGreenWasteSyngas,,,lifeConv,20,Assumption
gasificationWoodSyngas,,,lifeConv,20,Assumption
Methanation,,,lifeConv,15,Assumption
MethanationWithH2,,,lifeConv,25,Assumption
fischerTropsch,,,lifeConv,20,Assumption
waterGasShift,,,lifeConv,20,Assumption
digestionManure,,,lifeConv,20,Assumption
digestionGreenWaste,,,lifeConv,20,Assumption
digestionSludge,,,lifeConv,20,Assumption
biogasUpgrade,,,lifeConv,25,Assumption
pyrWoodCoalDh,,,lifeConv,20,Assumption
pyrWoodCoalProLow,,,lifeConv,20,Assumption
pyrMethaneH2,,,lifeConv,22.5,Assumption
htcDigestate,,,lifeConv,20,Assumption
biomassToHvc,,,lifeConv,20,Assumption
htgDigestate,,,effConv,0.85,Assumption
htgGreenWaste,,,effConv,0.85,Assumption
htgSludge,,,effConv,0.85,Assumption
htgManure,,,effConv,0.85,Assumption
htlSludge,,,effConv,0.82,Assumption
htlGreenWaste,,,effConv,0.82,Assumption
htlManure,,,effConv,0.82,Assumption
biochemicalWoodOil,,,effConv,,Assumption
pyrWood,,,effConv,0.87,Assumption
pyrGreenWaste,,,effConv,0.87,Assumption
pyrWaste,,,effConv,0.87,Assumption
gasificationGreenWasteSyngas,,,effConv,0.857142857,Assumption
gasificationWoodSyngas,,,effConv,0.857142857,Assumption
Methanation,,,effConv,0.99,Assumption
MethanationWithH2,,,effConv,0.99,Assumption
fischerTropsch,,,effConv,,Assumption
waterGasShift,,,effConv,,Assumption
digestionManure,,,effConv,1,Assumption
digestionGreenWaste,,,effConv,1,Assumption
digestionSludge,,,effConv,1,Assumption
biogasUpgrade,,,effConv,0.99,Assumption
pyrWoodCoalDh,,,effConv,0.87,Assumption
pyrWoodCoalProLow,,,effConv,0.87,Assumption
pyrMethaneH2,,,effConv,0.57,Assumption
htcDigestate,,,effConv,,Assumption
biomassToHvc,,,effConv,,Assumption
MethanationWithH2,,,ratioConvInFix,0.535353535,Assumption
biogasUpgrade,rawBiogas,,ratioConvInFix,0.535353535,Assumption
