region_2,region_2,exchange_1,parameter_1,value_1,parameter_2,value_2,source
AT,HU,liquidExc,costVarExc,9.033,capaExcResi,0,Assumption same as liquid exchange
AT,IT,liquidExc,costVarExc,17.194,capaExcResi,0,Assumption same as liquid exchange
AT,SI,liquidExc,costVarExc,3.503,capaExcResi,0,Assumption same as liquid exchange
BA,ME,liquidExc,costVarExc,4.83,capaExcResi,0,Assumption same as liquid exchange
BA,RS,liquidExc,costVarExc,4.217,capaExcResi,0,Assumption same as liquid exchange
BE,DE,liquidExc,costVarExc,15.831,capaExcResi,0,Assumption same as liquid exchange
BE,LU,liquidExc,costVarExc,4.454,capaExcResi,0,Assumption same as liquid exchange
BE,NL,liquidExc,costVarExc,7.738,capaExcResi,0,Assumption same as liquid exchange
BG,GR,liquidExc,costVarExc,18.825,capaExcResi,0,Assumption same as liquid exchange
BG,MK,liquidExc,costVarExc,9.08,capaExcResi,0,Assumption same as liquid exchange
CH,AT,liquidExc,costVarExc,8.111,capaExcResi,0,Assumption same as liquid exchange
CH,IT,liquidExc,costVarExc,18.007,capaExcResi,0,Assumption same as liquid exchange
CZ,AT,liquidExc,costVarExc,7.498,capaExcResi,0,Assumption same as liquid exchange
CZ,PL,liquidExc,costVarExc,11.622,capaExcResi,0,Assumption same as liquid exchange
CZ,SK,liquidExc,costVarExc,8.555,capaExcResi,0,Assumption same as liquid exchange
DE,AT,liquidExc,costVarExc,11.734,capaExcResi,0,Assumption same as liquid exchange
DE,CH,liquidExc,costVarExc,13.631,capaExcResi,0,Assumption same as liquid exchange
DE,CZ,liquidExc,costVarExc,13.337,capaExcResi,0,Assumption same as liquid exchange
DE,DK,liquidExc,costVarExc,14.942,capaExcResi,0,Assumption same as liquid exchange
DE,PL,liquidExc,costVarExc,20.759,capaExcResi,0,Assumption same as liquid exchange
EE,LV,liquidExc,costVarExc,5.564,capaExcResi,0,Assumption same as liquid exchange
ES,FR,liquidExc,costVarExc,20.662,capaExcResi,0,Assumption same as liquid exchange
ES,PT,liquidExc,costVarExc,12.545,capaExcResi,0,Assumption same as liquid exchange
FI,NO,liquidExc,costVarExc,25.459,capaExcResi,0,Assumption same as liquid exchange
FI,SE,liquidExc,costVarExc,13.685,capaExcResi,0,Assumption same as liquid exchange
FR,BE,liquidExc,costVarExc,18.978,capaExcResi,0,Assumption same as liquid exchange
FR,CH,liquidExc,costVarExc,10.884,capaExcResi,0,Assumption same as liquid exchange
FR,DE,liquidExc,costVarExc,20.732,capaExcResi,0,Assumption same as liquid exchange
FR,IT,liquidExc,costVarExc,27.012,capaExcResi,0,Assumption same as liquid exchange
FR,LU,liquidExc,costVarExc,10.636,capaExcResi,0,Assumption same as liquid exchange
GR,AL,liquidExc,costVarExc,18.694,capaExcResi,0,Assumption same as liquid exchange
HR,BA,liquidExc,costVarExc,3.169,capaExcResi,0,Assumption same as liquid exchange
HR,RS,liquidExc,costVarExc,6.302,capaExcResi,0,Assumption same as liquid exchange
HU,HR,liquidExc,costVarExc,8.861,capaExcResi,0,Assumption same as liquid exchange
HU,RO,liquidExc,costVarExc,9.054,capaExcResi,0,Assumption same as liquid exchange
HU,RS,liquidExc,costVarExc,6.757,capaExcResi,0,Assumption same as liquid exchange
IT,SI,liquidExc,costVarExc,13.523,capaExcResi,0,Assumption same as liquid exchange
