technology_3,carrier_1,carrier_2,parameter,value,source
haberBoschH2AmmoniaDh,ammonia,,ratioConvOutFix,0.882,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
haberBoschH2AmmoniaDh,,,avaConv,0.85,
haberBoschH2AmmoniaDh,,,costExpConv,847,
haberBoschH2AmmoniaDh,,,costOprConv,16.6,
haberBoschH2AmmoniaDh,,,effConv,0.905,
haberBoschH2AmmoniaDh,,,lifeConv,20,
haberBoschH2AmmoniaProLow,ammonia,,ratioConvOutFix,0.882,
haberBoschH2AmmoniaProLow,,,avaConv,0.85,
haberBoschH2AmmoniaProLow,,,costExpConv,847,
haberBoschH2AmmoniaProLow,,,costOprConv,16.6,
haberBoschH2AmmoniaProLow,,,effConv,0.905,
haberBoschH2AmmoniaProLow,,,lifeConv,20,
ammoniaCracking,,,avaConv,0.85,
ammoniaCracking,,,costExpConv,1365,
ammoniaCracking,,,costOprConv,38,
ammoniaCracking,,,effConv,0.591,
ammoniaCracking,,,lifeConv,25,
gasToHvc,methane,,ratioConvInFix,0.856,
gasToHvc,,,avaConv,1,
gasToHvc,,,costExpConv,798,
gasToHvc,,,costOprConv,20,
gasToHvc,,,effConv,0.307,
gasToHvc,,,lifeConv,25,
steamMethaneReforming,,,avaConv,0.86,
steamMethaneReforming,,,costExpConv,681,
steamMethaneReforming,,,costOprConv,64.4,
steamMethaneReforming,,,effConv,0.73,
steamMethaneReforming,,,lifeConv,25,
oilToHvc,refinedOil,,ratioConvInFix,0.98,
oilToHvc,,,avaConv,1,
oilToHvc,,,costExpConv,395,
oilToHvc,,,costOprConv,2.1,
oilToHvc,,,effConv,0.538,
oilToHvc,,,lifeConv,15,
