region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
01ES,02ES,methaneGrid,2040,226.0229801,capaExcResi,0,costExpExc,158.2160861,costOprExc,34.60976883,All same as h2Grid
01ES,12PT,methaneGrid,2040,220.7843196,capaExcResi,0,costExpExc,154.5490237,costOprExc,33.80759894,All same as h2Grid
02ES,03ES,methaneGrid,2040,169.3470606,capaExcResi,0,costExpExc,118.5429424,costOprExc,25.93126865,All same as h2Grid
02ES,08ES,methaneGrid,2040,345.1591499,capaExcResi,0,costExpExc,241.6114049,costOprExc,52.85249483,All same as h2Grid
02ES,12PT,methaneGrid,2040,242.1057926,capaExcResi,0,costExpExc,169.4740548,costOprExc,37.07244949,All same as h2Grid
03ES,04ES,methaneGrid,2040,170.5697448,capaExcResi,0,costExpExc,119.3988214,costOprExc,26.11849217,All same as h2Grid
03ES,05ES,methaneGrid,2040,258.8830989,capaExcResi,0,costExpExc,181.2181692,costOprExc,39.64147452,All same as h2Grid
03ES,07ES,methaneGrid,2040,135.5792406,capaExcResi,0,costExpExc,94.90546842,costOprExc,20.76057122,All same as h2Grid
03ES,08ES,methaneGrid,2040,285.2596021,capaExcResi,0,costExpExc,199.6817215,costOprExc,43.68037657,All same as h2Grid
03ES,11ES,methaneGrid,2040,365.8997089,capaExcResi,0,costExpExc,256.1297962,costOprExc,56.02839293,All same as h2Grid
04ES,05ES,methaneGrid,2040,200.888342,capaExcResi,0,costExpExc,140.6218394,costOprExc,30.76102737,All same as h2Grid
04ES,14FR,methaneGrid,2040,286.850674,capaExcResi,0,costExpExc,200.7954718,costOprExc,43.92400946,All same as h2Grid
05ES,06ES,methaneGrid,2040,180.7563858,capaExcResi,0,costExpExc,126.5294701,costOprExc,27.67832158,All same as h2Grid
05ES,11ES,methaneGrid,2040,268.5552515,capaExcResi,0,costExpExc,187.9886761,costOprExc,41.12252289,All same as h2Grid
05ES,14FR,methaneGrid,2040,305.4484316,capaExcResi,0,costExpExc,213.8139021,costOprExc,46.77179109,All same as h2Grid
06ES,11ES,methaneGrid,2040,370.9179493,capaExcResi,0,costExpExc,259.6425645,costOprExc,56.79681099,All same as h2Grid
06ES,14FR,methaneGrid,2040,253.2242877,capaExcResi,0,costExpExc,177.2570014,costOprExc,38.77496905,All same as h2Grid
06ES,15FR,methaneGrid,2040,270.4177384,capaExcResi,0,costExpExc,189.2924169,costOprExc,41.40771619,All same as h2Grid
07ES,08ES,methaneGrid,2040,172.8048204,capaExcResi,0,costExpExc,120.9633743,costOprExc,26.46073812,All same as h2Grid
07ES,11ES,methaneGrid,2040,276.9872673,capaExcResi,0,costExpExc,193.8910871,costOprExc,42.41367531,All same as h2Grid
08ES,09ES,methaneGrid,2040,231.1051398,capaExcResi,0,costExpExc,161.7735979,costOprExc,35.38797453,All same as h2Grid
08ES,10ES,methaneGrid,2040,198.6497561,capaExcResi,0,costExpExc,139.0548293,costOprExc,30.4182439,All same as h2Grid
08ES,11ES,methaneGrid,2040,359.9690076,capaExcResi,0,costExpExc,251.9783053,costOprExc,55.12025429,All same as h2Grid
08ES,12PT,methaneGrid,2040,277.8273511,capaExcResi,0,costExpExc,194.4791458,costOprExc,42.54231314,All same as h2Grid
08ES,13PT,methaneGrid,2040,275.4245566,capaExcResi,0,costExpExc,192.7971896,costOprExc,42.17438523,All same as h2Grid
09ES,10ES,methaneGrid,2040,167.4661886,capaExcResi,0,costExpExc,117.226332,costOprExc,25.64326013,All same as h2Grid
09ES,13PT,methaneGrid,2040,264.6981729,capaExcResi,0,costExpExc,185.288721,costOprExc,40.53190773,All same as h2Grid
10ES,11ES,methaneGrid,2040,300.3706252,capaExcResi,0,costExpExc,210.2594376,costOprExc,45.99425198,All same as h2Grid
12PT,13PT,methaneGrid,2040,254.0269767,capaExcResi,0,costExpExc,177.8188837,costOprExc,38.89788081,All same as h2Grid
14FR,15FR,methaneGrid,2040,136.6133652,capaExcResi,0,costExpExc,95.62935564,costOprExc,20.91892155,All same as h2Grid
14FR,17FR,methaneGrid,2040,318.1552849,capaExcResi,0,costExpExc,222.7086994,costOprExc,48.717528,All same as h2Grid
14FR,18FR,methaneGrid,2040,344.2556995,capaExcResi,0,costExpExc,240.9789897,costOprExc,52.71415399,All same as h2Grid
15FR,16FR,methaneGrid,2040,249.2403492,capaExcResi,0,costExpExc,174.4682444,costOprExc,38.16492847,All same as h2Grid
15FR,18FR,methaneGrid,2040,309.9377053,capaExcResi,0,costExpExc,216.9563937,costOprExc,47.45921112,All same as h2Grid
15FR,19FR,methaneGrid,2040,195.2164194,capaExcResi,0,costExpExc,136.6514936,costOprExc,29.89251422,All same as h2Grid
16FR,19FR,methaneGrid,2040,169.622725,capaExcResi,0,costExpExc,118.7359075,costOprExc,25.97347977,All same as h2Grid
16FR,20FR,methaneGrid,2040,215.3787153,capaExcResi,0,costExpExc,150.7651007,costOprExc,32.97986578,All same as h2Grid
16FR,52IT,methaneGrid,2040,414.3150328,capaExcResi,0,costExpExc,290.020523,costOprExc,63.4419894,All same as h2Grid
17FR,18FR,methaneGrid,2040,202.6791238,capaExcResi,0,costExpExc,141.8753867,costOprExc,31.03524083,All same as h2Grid
17FR,21FR,methaneGrid,2040,239.28429,capaExcResi,0,costExpExc,167.499003,costOprExc,36.64040691,All same as h2Grid
17FR,22FR,methaneGrid,2040,244.5994651,capaExcResi,0,costExpExc,171.2196256,costOprExc,37.45429309,All same as h2Grid
18FR,19FR,methaneGrid,2040,266.9677866,capaExcResi,0,costExpExc,186.8774506,costOprExc,40.87944232,All same as h2Grid
18FR,22FR,methaneGrid,2040,281.9425219,capaExcResi,0,costExpExc,197.3597653,costOprExc,43.17244867,All same as h2Grid
18FR,23FR,methaneGrid,2040,195.9269556,capaExcResi,0,costExpExc,137.1488689,costOprExc,30.00131508,All same as h2Grid
18FR,24FR,methaneGrid,2040,176.3074068,capaExcResi,0,costExpExc,123.4151848,costOprExc,26.99707167,All same as h2Grid
19FR,20FR,methaneGrid,2040,128.7286047,capaExcResi,0,costExpExc,90.11002329,costOprExc,19.71156759,All same as h2Grid
19FR,24FR,methaneGrid,2040,260.391683,capaExcResi,0,costExpExc,182.2741781,costOprExc,39.87247646,All same as h2Grid
20FR,24FR,methaneGrid,2040,227.7869615,capaExcResi,0,costExpExc,159.4508731,costOprExc,34.87987848,All same as h2Grid
20FR,25FR,methaneGrid,2040,289.2192799,capaExcResi,0,costExpExc,202.4534959,costOprExc,44.28670223,All same as h2Grid
20FR,47CH,methaneGrid,2040,235.1547296,capaExcResi,0,costExpExc,164.6083107,costOprExc,36.00806797,All same as h2Grid
20FR,48CH,methaneGrid,2040,225.2370458,capaExcResi,0,costExpExc,157.6659321,costOprExc,34.48942264,All same as h2Grid
20FR,52IT,methaneGrid,2040,336.9067548,capaExcResi,0,costExpExc,235.8347284,costOprExc,51.58884683,All same as h2Grid
21FR,22FR,methaneGrid,2040,242.5869624,capaExcResi,0,costExpExc,169.8108737,costOprExc,37.14612862,All same as h2Grid
22FR,23FR,methaneGrid,2040,188.7170239,capaExcResi,0,costExpExc,132.1019167,costOprExc,28.89729428,All same as h2Grid
