technology_3,carrier_1,carrier_2,parameter,value,source
alkElectrolysis,h2,,ratioConvOutFix,0.858494208,
alkElectrolysis,,,avaConv,0.941538462,
alkElectrolysis,,,costExpConv,350,
alkElectrolysis,,,costOprConv,7,
alkElectrolysis,,,effConv,0.842192041,
alkElectrolysis,,,lifeConv,32.5,
directAirCapture,electricity,,ratioConvInFix,0.166666667,
directAirCapture,processHeat_low,,emissionFac,-666.6666667,
directAirCapture,,,avaConv,0.892307692,
directAirCapture,,,costExpConv,2777.777778,
directAirCapture,,,costOprConv,137.5,
directAirCapture,,,effConv,0.555555556,
directAirCapture,,,lifeConv,20,
h2ToCrudeOil,capturedCO2,,enCont,0,
h2ToCrudeOil,districtHeat,,ratioConvOutFix,0.192857143,
h2ToCrudeOil,h2,,ratioConvInFix,0.83965954,
h2ToCrudeOil,,,avaConv,0.942,
h2ToCrudeOil,,,costExpConv,725,
h2ToCrudeOil,,,costOprConv,56.7,
h2ToCrudeOil,,,effConv,0.9,
h2ToCrudeOil,,,lifeConv,25,
pemElectrolysis,h2,,ratioConvOutFix,0.808573647,
pemElectrolysis,,,avaConv,0.941538462,
pemElectrolysis,,,costExpConv,525,
pemElectrolysis,,,costOprConv,21,
pemElectrolysis,,,effConv,0.85038736,
pemElectrolysis,,,lifeConv,27.5,
soElectrolysis,electricity,,ratioConvInFix,0.8095,
soElectrolysis,,,avaConv,0.97230137,
soElectrolysis,,,costExpConv,1341.895326,
soElectrolysis,,,costOprConv,161.0274391,
soElectrolysis,,,effConv,0.82,
soElectrolysis,,,lifeConv,20,
h2ToMethane,capturedCO2,,enCont,0,Assumption
h2ToMethane,districtHeat,,ratioConvOutFix,0.192857143,Assumption
h2ToMethane,h2,,ratioConvInFix,0.83965954,Assumption
h2ToMethane,,,avaConv,0.942,Assumption
h2ToMethane,,,costExpConv,725,Assumption
h2ToMethane,,,costOprConv,56.7,Assumption
h2ToMethane,,,effConv,0.9,Assumption
h2ToMethane,,,lifeConv,25,Assumption
