technology_3,parameter,value,source
pitThermalStorage,effStIn,0.8,"see techData -> storageData, discharge rates also from Danish Energy Agency (2021), Technology Data for Energy Storage"
largeWaterTank,effStIn,0.98,
pitThermalStorage,costExpStSize,0.505555556,
pitThermalStorage,costOprStSize,0.003,
pitThermalStorage,avaStIn,0.980769231,
pitThermalStorage,avaStOut,0.980769231,
pitThermalStorage,avaStSize,0.980769231,
pitThermalStorage,lifeStIn,25,
pitThermalStorage,lifeStOut,25,
pitThermalStorage,lifeStSize,25,
pitThermalStorage,stOutToStInFix,1,
pitThermalStorage,sizeToStOutFix,150,
largeWaterTank,costExpStSize,2.964780114,
largeWaterTank,costOprStSize,0.0086,
largeWaterTank,avaStIn,1,
largeWaterTank,avaStOut,1,
largeWaterTank,avaStSize,1,
largeWaterTank,lifeStIn,40,
largeWaterTank,lifeStOut,40,
largeWaterTank,lifeStSize,40,
largeWaterTank,stOutToStInFix,1,
largeWaterTank,sizeToStOutFix,60.34482759,
heatpumpAirSpace,costExpStSize,410,
heatpumpAirSpace,costOprStSize,0.05,
heatpumpAirSpace,avaStIn,1,
heatpumpAirSpace,avaStOut,1,
heatpumpAirSpace,avaStSize,1,
heatpumpAirSpace,lifeStIn,30,
heatpumpAirSpace,lifeStOut,30,
heatpumpAirSpace,lifeStSize,30,
heatpumpAirSpace,stOutToStInFix,1,
heatpumpAirSpace,sizeToStOutFix,0.15,
heatpumpGroundSpace,costExpStSize,410,
heatpumpGroundSpace,costOprStSize,0.05,
heatpumpGroundSpace,avaStIn,1,
heatpumpGroundSpace,avaStOut,1,
heatpumpGroundSpace,avaStSize,1,
heatpumpGroundSpace,lifeStIn,30,
heatpumpGroundSpace,lifeStOut,30,
heatpumpGroundSpace,lifeStSize,30,
heatpumpGroundSpace,stOutToStInFix,1,
heatpumpGroundSpace,sizeToStOutFix,0.15,
heatpumpAirProLow,costExpStSize,410,
heatpumpAirProLow,costOprStSize,0.05,
heatpumpAirProLow,avaStIn,1,
heatpumpAirProLow,avaStOut,1,
heatpumpAirProLow,avaStSize,1,
heatpumpAirProLow,lifeStIn,30,
heatpumpAirProLow,lifeStOut,30,
heatpumpAirProLow,lifeStSize,30,
heatpumpAirProLow,stOutToStInFix,1,
heatpumpAirProLow,sizeToStOutFix,0.15,
heatpumpGroundProLow,costExpStSize,410,Assumption
heatpumpGroundProLow,costOprStSize,0.05,Assumption
heatpumpGroundProLow,avaStIn,1,Assumption
heatpumpGroundProLow,avaStOut,1,Assumption
heatpumpGroundProLow,avaStSize,1,Assumption
heatpumpGroundProLow,lifeStIn,30,Assumption
heatpumpGroundProLow,lifeStOut,30,Assumption
heatpumpGroundProLow,lifeStSize,30,Assumption
heatpumpGroundProLow,stOutToStInFix,1,Assumption
heatpumpGroundProLow,sizeToStOutFix,0.15,Assumption
eBoilerProLow,costExpStSize,410,
eBoilerProLow,costOprStSize,0.05,
eBoilerProLow,avaStIn,1,
eBoilerProLow,avaStOut,1,
eBoilerProLow,avaStSize,1,
eBoilerProLow,lifeStIn,30,
eBoilerProLow,lifeStOut,30,
eBoilerProLow,lifeStSize,30,
eBoilerProLow,stOutToStInFix,1,
eBoilerProLow,sizeToStOutFix,0.15,
resistiveHeatSpace,costExpStSize,410,
resistiveHeatSpace,costOprStSize,0.05,
resistiveHeatSpace,avaStIn,1,
resistiveHeatSpace,avaStOut,1,
resistiveHeatSpace,avaStSize,1,
resistiveHeatSpace,lifeStIn,30,
resistiveHeatSpace,lifeStOut,30,
resistiveHeatSpace,lifeStSize,30,
resistiveHeatSpace,stOutToStInFix,1,
resistiveHeatSpace,sizeToStOutFix,0.15,
solarThermalResi_a,costExpStSize,410,
solarThermalResi_a,costOprStSize,0.05,
solarThermalResi_a,avaStIn,1,
solarThermalResi_a,avaStOut,1,
solarThermalResi_a,avaStSize,1,
solarThermalResi_a,lifeStIn,30,
solarThermalResi_a,lifeStOut,30,
solarThermalResi_a,lifeStSize,30,
solarThermalResi_a,stOutToStInFix,1,
solarThermalResi_a,sizeToStOutFix,0.15,
solarThermalResi_b,costExpStSize,410,
solarThermalResi_b,costOprStSize,0.05,
solarThermalResi_b,avaStIn,1,
solarThermalResi_b,avaStOut,1,
solarThermalResi_b,avaStSize,1,
solarThermalResi_b,lifeStIn,30,
solarThermalResi_b,lifeStOut,30,
solarThermalResi_b,lifeStSize,30,
solarThermalResi_b,stOutToStInFix,1,
solarThermalResi_b,sizeToStOutFix,0.15,
heatpumpAirSpace,stDis,0.021,
heatpumpGroundSpace,stDis,0.021,
heatpumpAirProLow,stDis,0.021,
heatpumpGroundProLow,stDis,0.021,
eBoilerProLow,stDis,0.021,
resistiveHeatSpace,stDis,0.021,
solarThermalResi_a,stDis,0.021,
solarThermalResi_b,stDis,0.021,
largeWaterTank,stDis,0.00008,
pitThermalStorage,stDis,0.00005,
heatpumpAirSpace,stInToConvUp,1,
heatpumpGroundSpace,stInToConvUp,1,
heatpumpAirProLow,stInToConvUp,1,
heatpumpGroundProLow,stInToConvUp,1,
eBoilerProLow,stInToConvUp,1,
resistiveHeatSpace,stInToConvUp,1,
solarThermalResi_a,stInToConvUp,1,
solarThermalResi_b,stInToConvUp,1,
