technology_3,carrier_1,carrier_2,parameter,timestep_2,value,source
digestateBoilerDh,,,avaConv,,0.883076923,Assumption
digestateBoilerDh,,,effConv,,1,Assumption
digestateBoilerDh,,,lifeConv,,25,Assumption
digestateBoilerDh,,,costExpConv,2040,845.018289,Assumption
digestateBoilerDh,,,costOprConv,2040,48.31322576,Assumption
digestateBoilerDhCC,co2,co2Pure,ratioConvOutFix,,0.351974971,CarbonCaptureCalculation
digestateBoilerDhCC,,,avaConv,,0.883076923,CarbonCaptureCalculation
digestateBoilerDhCC,,,effConv,,1.0228,CarbonCaptureCalculation
digestateBoilerDhCC,,,lifeConv,,25,CarbonCaptureCalculation
digestateBoilerDhCC,,,costExpConv,2040,2485.018289,CarbonCaptureCalculation
digestateBoilerDhCC,,,costOprConv,2040,96.31322576,CarbonCaptureCalculation
digestateBoilerDhCC,biomass,digestate,emissionFac,,-360,CarbonCaptureCalculation
eBoilerDh,,,avaConv,,0.986153846,
eBoilerDh,,,effConv,,0.99,
eBoilerDh,,,lifeConv,,20,
eBoilerDh,,,costExpConv,2040,59.4,
eBoilerDh,,,costOprConv,2040,0.9603,
h2BoilerDh,,,avaConv,,0.982307692,
h2BoilerDh,,,effConv,,1.037857143,
h2BoilerDh,,,lifeConv,,25,
h2BoilerDh,,,costExpConv,2040,52,
h2BoilerDh,,,costOprConv,2040,1.872,
heatpumpAirDh,,,avaConv,,0.980769231,"see techData -> powerAndDhData, assumed same values for gas and h2"
heatpumpAirDh,,,lifeConv,,25,
heatpumpAirDh,,,costExpConv,2040,2949.294329,
heatpumpAirDh,,,costOprConv,2040,7.75,
heatpumpGroundDh,,,avaConv,,0.980769231,Assumption
heatpumpGroundDh,,,effConv,,4,Assumption that in all regions and at all times the COP is 4!!!
heatpumpGroundDh,,,lifeConv,,25,Assumption
heatpumpGroundDh,,,costExpConv,2040,2949.294329,Assumption
heatpumpGroundDh,,,costOprConv,2040,7.75,Assumption
methaneBoilerDh,,,avaConv,,0.982307692,
methaneBoilerDh,,,effConv,,1.037857143,
methaneBoilerDh,,,lifeConv,,25,
methaneBoilerDh,,,costExpConv,2040,52,
methaneBoilerDh,,,costOprConv,2040,1.872,
methaneBoilerDhCC,co2,co2Pure,ratioConvOutFix,,0.169530415,CarbonCaptureCalculation
methaneBoilerDhCC,,,avaConv,,0.903846154,CarbonCaptureCalculation
methaneBoilerDhCC,,,effConv,,1.049121483,CarbonCaptureCalculation
methaneBoilerDhCC,,,lifeConv,,25,CarbonCaptureCalculation
methaneBoilerDhCC,,,costExpConv,2040,862.242,CarbonCaptureCalculation
methaneBoilerDhCC,,,costOprConv,2040,25.5864,CarbonCaptureCalculation
methaneBoilerDhCC,methane,,emissionFac,,19.762,CarbonCaptureCalculation
oilBoilerDh,,,avaConv,,0.977461538,
oilBoilerDh,,,effConv,,0.96,
oilBoilerDh,,,lifeConv,,25,Assumption
oilBoilerDh,,,costExpConv,2040,52,Assumption
oilBoilerDh,,,costOprConv,2040,1.872,Assumption
oilBoilerDhCC,co2,co2Pure,ratioConvOutFix,,0.243153197,CarbonCaptureCalculation
oilBoilerDhCC,,,avaConv,,0.903846154,CarbonCaptureCalculation
oilBoilerDhCC,,,effConv,,0.97501494,CarbonCaptureCalculation
oilBoilerDhCC,,,lifeConv,,25,CarbonCaptureCalculation
oilBoilerDhCC,,,costExpConv,2040,1132.022,CarbonCaptureCalculation
oilBoilerDhCC,,,costOprConv,2040,33.4824,CarbonCaptureCalculation
oilBoilerDhCC,refinedOil,,emissionFac,,26.342,CarbonCaptureCalculation
wasteBoilerDh,,,avaConv,,0.883076923,Assumption
wasteBoilerDh,,,effConv,,1,Assumption
wasteBoilerDh,,,lifeConv,,25,Assumption
wasteBoilerDh,,,costExpConv,2040,845.018289,Assumption
wasteBoilerDh,,,costOprConv,2040,48.31322576,Assumption
wasteBoilerDhCC,co2,co2Pure,ratioConvOutFix,,0.291516573,CarbonCaptureCalculation
wasteBoilerDhCC,,,avaConv,,0.883076923,CarbonCaptureCalculation
wasteBoilerDhCC,,,effConv,,1.01881,CarbonCaptureCalculation
wasteBoilerDhCC,,,lifeConv,,25,CarbonCaptureCalculation
wasteBoilerDhCC,,,costExpConv,2040,2198.018289,CarbonCaptureCalculation
wasteBoilerDhCC,,,costOprConv,2040,87.91322576,CarbonCaptureCalculation
wasteBoilerDhCC,waste,,emissionFac,,-297,CarbonCaptureCalculation
woodBoilerDh,,,avaConv,,0.931538462,
woodBoilerDh,,,effConv,,1.14916826,
woodBoilerDh,,,lifeConv,,25,
woodBoilerDh,,,costExpConv,2040,542.4280265,
woodBoilerDh,,,costOprConv,2040,42.69152575,
woodBoilerDhCC,co2,co2Pure,ratioConvOutFix,,0.2996419,CarbonCaptureCalculation
woodBoilerDhCC,,,avaConv,,0.903846154,CarbonCaptureCalculation
woodBoilerDhCC,,,effConv,,1.17139826,CarbonCaptureCalculation
woodBoilerDhCC,,,lifeConv,,25,CarbonCaptureCalculation
woodBoilerDhCC,,,costExpConv,2040,2141.428027,CarbonCaptureCalculation
woodBoilerDhCC,,,costOprConv,2040,89.49152575,CarbonCaptureCalculation
woodBoilerDhCC,biomass,wood,emissionFac,,-351,CarbonCaptureCalculation
