technology_3,timestep_2,carrier_1,carrier_2,parameter,value,source
woodBoilerProMed,2040,,,lifeConv,17,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProMed,,,,effConv,0.864,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProMed,,,,costExpConv,115,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProMed,2040,,,costOprConv,2.3,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProMed,,,,avaConv,0.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProLow,2040,,,lifeConv,17,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProLow,,,,effConv,0.864,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProLow,,,,costExpConv,115,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProLow,2040,,,costOprConv,2.3,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProLow,,,,avaConv,0.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProHigh,2040,,,lifeConv,17,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProHigh,,,,effConv,0.864,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProHigh,,,,costExpConv,115,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProHigh,2040,,,costOprConv,2.3,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
woodBoilerProHigh,,,,avaConv,0.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProMed,2040,,,lifeConv,15,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProMed,,,,effConv,1,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProMed,,,,costExpConv,115,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProMed,2040,,,costOprConv,2.3,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProMed,,,,avaConv,0.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProLow,2040,,,lifeConv,15,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProLow,,,,effConv,1,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProLow,,,,costExpConv,115,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProLow,2040,,,costOprConv,2.3,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProLow,,,,avaConv,0.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProHigh,2040,,,lifeConv,15,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProHigh,,,,effConv,1,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProHigh,,,,costExpConv,115,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProHigh,2040,,,costOprConv,2.3,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
wasteBoilerProHigh,,,,avaConv,0.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
oilBoilerProMed,2040,,,lifeConv,25,
oilBoilerProMed,,,,effConv,0.954166667,
oilBoilerProMed,,,,costExpConv,42.816,
oilBoilerProMed,2040,,,costOprConv,1.536,
oilBoilerProMed,,,,avaConv,0.977461538,
oilBoilerProLow,2040,,,lifeConv,25,
oilBoilerProLow,,,,effConv,0.964166667,
oilBoilerProLow,,,,costExpConv,34.6096,
oilBoilerProLow,2040,,,costOprConv,1.552,
oilBoilerProLow,,,,avaConv,0.977461538,
oilBoilerProHigh,2040,,,lifeConv,17,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
oilBoilerProHigh,,,,effConv,0.873,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
oilBoilerProHigh,,,,costExpConv,54.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
oilBoilerProHigh,2040,,,costOprConv,1.2,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
