timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value,comment,"for eBoilerProHigh and eBoilerProMed potential is estimated in techData -> processHeatPotential, other technologies use existing capacities computed in heatInpus -> heatDemStock as upper limit",,,,,,,,,,,,,,,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp
all,01ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,02ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,03ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,04ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,05ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,06ES,gasTurbine,ccgtProMed,,capaConvUp,0.0515,,,,,,,,,,,,,,,,,,,,
all,07ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,08ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,09ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,10ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,11ES,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,12PT,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,13PT,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,14FR,gasTurbine,ccgtProMed,,capaConvUp,0.1823,,,,,,,,,,,,,,,,,,,,
all,15FR,gasTurbine,ccgtProMed,,capaConvUp,0.0648,,,,,,,,,,,,,,,,,,,,
all,16FR,gasTurbine,ccgtProMed,,capaConvUp,0.1469,,,,,,,,,,,,,,,,,,,,
all,17FR,gasTurbine,ccgtProMed,,capaConvUp,0.172,,,,,,,,,,,,,,,,,,,,
all,18FR,gasTurbine,ccgtProMed,,capaConvUp,0.0844,,,,,,,,,,,,,,,,,,,,
all,19FR,gasTurbine,ccgtProMed,,capaConvUp,0.1433,,,,,,,,,,,,,,,,,,,,
all,20FR,gasTurbine,ccgtProMed,,capaConvUp,0.1167,,,,,,,,,,,,,,,,,,,,
all,21FR,gasTurbine,ccgtProMed,,capaConvUp,0.2471,,,,,,,,,,,,,,,,,,,,
all,22FR,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,gasTurbine,ccgtProMed,,capaConvUp,1.1443,,,,,,,,,,,,,,,,,,,,
all,24FR,gasTurbine,ccgtProMed,,capaConvUp,0.0565,,,,,,,,,,,,,,,,,,,,
all,25FR,gasTurbine,ccgtProMed,,capaConvUp,0.212,,,,,,,,,,,,,,,,,,,,
all,26FR,gasTurbine,ccgtProMed,,capaConvUp,0.2133,,,,,,,,,,,,,,,,,,,,
all,27FR,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,28BE,gasTurbine,ccgtProMed,,capaConvUp,0.0626,,,,,,,,,,,,,,,,,,,,
all,29LU,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,30NL,gasTurbine,ccgtProMed,,capaConvUp,3.7913,,,,,,,,,,,,,,,,,,,,
all,31DE,gasTurbine,ccgtProMed,,capaConvUp,0.3063,,,,,,,,,,,,,,,,,,,,
all,32DE,gasTurbine,ccgtProMed,,capaConvUp,0.1382,,,,,,,,,,,,,,,,,,,,
all,33DE,gasTurbine,ccgtProMed,,capaConvUp,0.5218,,,,,,,,,,,,,,,,,,,,
all,34DE,gasTurbine,ccgtProMed,,capaConvUp,0.2326,,,,,,,,,,,,,,,,,,,,
all,35DE,gasTurbine,ccgtProMed,,capaConvUp,0.3676,,,,,,,,,,,,,,,,,,,,
all,36DE,gasTurbine,ccgtProMed,,capaConvUp,0.3931,,,,,,,,,,,,,,,,,,,,
all,37DE,gasTurbine,ccgtProMed,,capaConvUp,0.4362,,,,,,,,,,,,,,,,,,,,
all,38DK,gasTurbine,ccgtProMed,,capaConvUp,0.2711,,,,,,,,,,,,,,,,,,,,
all,39CZ,gasTurbine,ccgtProMed,,capaConvUp,0.1514,,,,,,,,,,,,,,,,,,,,
all,40CZ,gasTurbine,ccgtProMed,,capaConvUp,0.1291,,,,,,,,,,,,,,,,,,,,
all,41PL,gasTurbine,ccgtProMed,,capaConvUp,0.0532,,,,,,,,,,,,,,,,,,,,
all,42PL,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,43PL,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,44PL,gasTurbine,ccgtProMed,,capaConvUp,0.0522,,,,,,,,,,,,,,,,,,,,
all,45PL,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,46SK,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,47CH,gasTurbine,ccgtProMed,,capaConvUp,0.0951,,,,,,,,,,,,,,,,,,,,
all,48CH,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,49AT,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,50AT,gasTurbine,ccgtProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
