timestep_2,carrier_1,region_2,parameter,value,source,MeanCalculation
all,ammonia,AL,dem,5.173178384,Assumption mean of other countries,5.173178384
all,ammonia,AT,dem,2.108075275,Rixhon et al. With reduction of demand until 2050 applied -  average values from projections - see Semester Project Diego Vemire,
all,ammonia,BA,dem,5.173178384,Assumption mean of other countries,
all,ammonia,BE,dem,7.066307359,,
all,ammonia,BG,dem,1.694668221,,
all,ammonia,CH,dem,0.164992304,1.800 GWh for CH in EnergyScope?!,
all,ammonia,CZ,dem,1.265521206,,
all,ammonia,DE,dem,12.19593381,,
all,ammonia,DK,dem,0.123430255,,
all,ammonia,EE,dem,0.017984741,,
all,ammonia,ES,dem,2.195030218,,
all,ammonia,FI,dem,0.229679506,,
all,ammonia,FR,dem,5.893346203,,
all,ammonia,GR,dem,0.676549298,,
all,ammonia,HR,dem,1.692766463,,
all,ammonia,HU,dem,77.0536991,,
all,ammonia,IE,dem,0.04704071,,
all,ammonia,IT,dem,2.112591154,,
all,ammonia,LT,dem,4.032825404,,
all,ammonia,LU,dem,0.016188611,,
all,ammonia,LV,dem,0.003677999,,
all,ammonia,ME,dem,5.173178384,Assumption mean of other countries (Montenegro),
all,ammonia,MK,dem,5.173178384,Assumption mean of other countries (Macedonia),
all,ammonia,NL,dem,5.407105083,,
all,ammonia,NO,dem,2.979557384,,
all,ammonia,PL,dem,9.122593706,,
all,ammonia,PT,dem,0.652651587,,
all,ammonia,RO,dem,1.821524125,,
all,ammonia,RS,dem,5.173178384,Assumption mean of other countries,
all,ammonia,SE,dem,0.923773733,,
all,ammonia,SI,dem,0.015242226,,
all,ammonia,SK,dem,1.808557082,,
all,ammonia,UK,dem,3.527681996,,
all,hvc,AL,dem,15.89314719,Assumption mean of other countries,15.89314719
all,hvc,AT,dem,9.184657663,,
all,hvc,BA,dem,15.89314719,Assumption mean of other countries,
all,hvc,BE,dem,30.22999377,,
all,hvc,BG,dem,1.490025039,,
all,hvc,CH,dem,2.583798429,,
all,hvc,CZ,dem,13.57011502,,
all,hvc,DE,dem,95.61254475,,
all,hvc,DK,dem,1.135565184,,
all,hvc,EE,dem,0.326370148,,
all,hvc,ES,dem,26.3345349,,
all,hvc,FI,dem,7.373080885,,
all,hvc,FR,dem,65.16497005,,
all,hvc,GR,dem,2.754213116,,
all,hvc,HR,dem,0.850652344,,
all,hvc,HU,dem,8.59504002,,
all,hvc,IE,dem,1.35011802,,
all,hvc,IT,dem,33.78730594,,
all,hvc,LT,dem,1.334576171,,
all,hvc,LU,dem,0.21454946,,
all,hvc,LV,dem,0.500691433,,
all,hvc,ME,dem,15.89314719,Assumption mean of other countries,
all,hvc,MK,dem,15.89314719,Assumption mean of other countries,
all,hvc,NL,dem,49.63916523,,
all,hvc,NO,dem,11.1284142,,
all,hvc,PL,dem,19.93251616,,
all,hvc,PT,dem,6.122580994,,
all,hvc,RO,dem,4.200628368,,
all,hvc,RS,dem,15.89314719,Assumption mean of other countries,
all,hvc,SE,dem,10.57582994,,
all,hvc,SI,dem,0.825850727,,
all,hvc,SK,dem,3.13246956,,
all,hvc,UK,dem,37.05786373,,
,methanol,AL,dem,0.890392073,Assumption mean of other countries,0.890392073
,methanol,AT,dem,0.659220401,,
,methanol,BA,dem,0.890392073,Assumption mean of other countries,
,methanol,BE,dem,1.486972222,,
,methanol,BG,dem,0.142433039,,
,methanol,CH,dem,0.185449768,,
,methanol,CZ,dem,0.247598387,,
,methanol,DE,dem,6.537130183,,
,methanol,DK,dem,0.154577837,,
,methanol,EE,dem,0.011125559,,
,methanol,ES,dem,1.992785669,,
,methanol,FI,dem,0.409603491,,
,methanol,FR,dem,1.826266428,,
,methanol,GR,dem,0.437323229,,
,methanol,HR,dem,0.003991072,,
,methanol,HU,dem,0.639856673,,
,methanol,IE,dem,0.107210653,,
,methanol,IT,dem,1.705986852,,
,methanol,LT,dem,0.209870833,,
,methanol,LU,dem,0,,
,methanol,LV,dem,0.095676315,,
,methanol,ME,dem,0.890392073,Assumption mean of other countries,
,methanol,MK,dem,0.890392073,Assumption mean of other countries,
,methanol,NL,dem,1.808006573,,
,methanol,NO,dem,0.648124725,,
,methanol,PL,dem,1.528133239,,
,methanol,PT,dem,0.540668731,,
,methanol,RO,dem,0.504674883,,
,methanol,RS,dem,0.890392073,Assumption mean of other countries,
,methanol,SE,dem,0.648124725,,
,methanol,SI,dem,0.098860563,,
,methanol,SK,dem,0.125367843,,
,methanol,UK,dem,2.175938157,,
