carrier_1,carrier_2,parameter,value
electricity,,costLss,13000
crudeOil,,costLss,13000
refinedOil,,costLss,13000
avaAndNavi,,costLss,13000
rawBiogas,,costLss,13000
districtHeat,,costLss,13000
processHeat_low,,costLss,13000
processHeat_high,,costLss,13000
capturedCO2,,costLss,50000
frtRoadHeavy,,costMissCapa,50000
frtRoadLight,,costMissCapa,50000
frtRail,,costMissCapa,50000
psngRail,,costMissCapa,50000
psngRoadPrvt,,costMissCapa,50000
psngRoadPub,,costMissCapa,50000
spaceHeat,,costMissCapa,50000
processHeat_low,,costMissCapa,50000
processHeat_medium,,costMissCapa,50000
processHeat_high,,costMissCapa,50000
,,emissionInf,10000
,,,
,,,
biomass,sludge,costLss,13000
biomass,greenWaste,costLss,13000
biomass,wood,costLss,13000
biomass,waste,costLss,13000
biomass,manure,costLss,13000
biomass,digestate,costLss,13000
biomass,co2Pure,costLss,13000
syngas,,costLss,13000
methane,,costLss,13000
coal,,costLss,13000
uranum,,costLss,13000
hvc,,costLss,13000
Ammonia,,costLss,13000
