region_2,region_2,exchange_1,parameter_1,value_1,parameter_2,value_2,source
AT,HU,solidExc,costVarExc,9.033,capaExcResi,0,Assumprion same as liquid exchange
AT,IT,solidExc,costVarExc,17.194,capaExcResi,0,Assumprion same as liquid exchange
AT,SI,solidExc,costVarExc,3.503,capaExcResi,0,Assumprion same as liquid exchange
BA,ME,solidExc,costVarExc,4.83,capaExcResi,0,Assumprion same as liquid exchange
BA,RS,solidExc,costVarExc,4.217,capaExcResi,0,Assumprion same as liquid exchange
BE,DE,solidExc,costVarExc,15.831,capaExcResi,0,Assumprion same as liquid exchange
BE,LU,solidExc,costVarExc,4.454,capaExcResi,0,Assumprion same as liquid exchange
BE,NL,solidExc,costVarExc,7.738,capaExcResi,0,Assumprion same as liquid exchange
BG,GR,solidExc,costVarExc,18.825,capaExcResi,0,Assumprion same as liquid exchange
BG,MK,solidExc,costVarExc,9.08,capaExcResi,0,Assumprion same as liquid exchange
CH,AT,solidExc,costVarExc,8.111,capaExcResi,0,Assumprion same as liquid exchange
CH,IT,solidExc,costVarExc,18.007,capaExcResi,0,Assumprion same as liquid exchange
CZ,AT,solidExc,costVarExc,7.498,capaExcResi,0,Assumprion same as liquid exchange
CZ,PL,solidExc,costVarExc,11.622,capaExcResi,0,Assumprion same as liquid exchange
CZ,SK,solidExc,costVarExc,8.555,capaExcResi,0,Assumprion same as liquid exchange
DE,AT,solidExc,costVarExc,11.734,capaExcResi,0,Assumprion same as liquid exchange
DE,CH,solidExc,costVarExc,13.631,capaExcResi,0,Assumprion same as liquid exchange
DE,CZ,solidExc,costVarExc,13.337,capaExcResi,0,Assumprion same as liquid exchange
DE,DK,solidExc,costVarExc,14.942,capaExcResi,0,Assumprion same as liquid exchange
DE,PL,solidExc,costVarExc,20.759,capaExcResi,0,Assumprion same as liquid exchange
EE,LV,solidExc,costVarExc,5.564,capaExcResi,0,Assumprion same as liquid exchange
ES,FR,solidExc,costVarExc,20.662,capaExcResi,0,Assumprion same as liquid exchange
