technology_1,technology_2,technology_3,timestep_2,timestep_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,source
storage,battery,lithiumBattery,2040,,costExpStIn,80.9,costOprStIn,1.21,costExpStSize,199.6,costOprStSize,2.99,
storage,battery,redoxBattery,2040,,costExpStIn,614,costOprStIn,9.21,costExpStSize,174.5,costOprStSize,2.62,
storage,battery,lithiumBattery,,2040,effStIn,0.943,effStOut,0.943,stDis,0.00005,,,
storage,battery,redoxBattery,,2040,effStIn,0.719,effStOut,0.719,stDis,0.00005,,,
storage,battery,,,,lifeStIn,18,,,,,,,
storage,battery,,,,lifeStOut,18,,,,,,,
storage,battery,,,,lifeStSize,18,,,,,,,
storage,battery,,,,stOutToStInFix,1,,,,,,,
storage,battery,,,,sizeToStOutLow,0.1,,,,,,,
storage,battery,,,,sizeToStOutUp,10,,,,,,,
hydro,,pumpedStorage,,,effStIn,0.9,,,,,,,
hydro,,pumpedStorage,,,effStOut,0.9,,,,,,,
