technology_3,timestep_2,carrier_1,carrier_2,parameter,value,source
bioGasEngineDh,,electricity,,ratioConvOutFix,0.483394834,
bioGasEngineDh,,,,lifeConv,25,
bioGasEngineDh,,,,effConv,0.895452563,
bioGasEngineDh,2040,,,costOprConv,3.912,
bioGasEngineDh,2040,,,costExpConv,384.75,
bioGasEngineDh,,,,avaConv,0.950769231,
bioGasEngineProLow,,electricity,,ratioConvOutFix,0.483394834,
bioGasEngineProLow,,,,lifeConv,25,
bioGasEngineProLow,,,,effConv,0.895452563,
bioGasEngineProLow,2040,,,costOprConv,3.912,
bioGasEngineProLow,2040,,,costExpConv,384.75,
bioGasEngineProLow,,,,avaConv,0.950769231,
bioGasEngineProMed,,electricity,,ratioConvOutFix,0.483394834,
bioGasEngineProMed,,,,lifeConv,25,
bioGasEngineProMed,,,,effConv,0.895452563,
bioGasEngineProMed,2040,,,costOprConv,3.912,
bioGasEngineProMed,2040,,,costExpConv,384.75,
bioGasEngineProMed,,,,avaConv,0.950769231,
ccgtGasDh,,electricity,,ratioConvOutFix,0.588839941,
ccgtGasDh,,,,lifeConv,25,
ccgtGasDh,,,,effConv,0.853979337,
ccgtGasDh,2040,,,costOprConv,13.71,
ccgtGasDh,2040,,,costExpConv,586,
ccgtGasDh,,,,avaConv,0.930302198,
ccgtGasProMed,,electricity,,ratioConvOutFix,0.588839941,
ccgtGasProMed,,,,lifeConv,25,
ccgtGasProMed,,,,effConv,0.853979337,
ccgtGasProMed,2040,,,costOprConv,13.71,
ccgtGasProMed,2040,,,costExpConv,586,
ccgtGasProMed,,,,avaConv,0.930302198,
ccgtH2Dh,,electricity,,ratioConvOutFix,0.588839941,
ccgtH2Dh,,,,lifeConv,25,
ccgtH2Dh,,,,effConv,0.853979337,
ccgtH2Dh,2040,,,costOprConv,13.71,
ccgtH2Dh,2040,,,costExpConv,673.9,
ccgtH2Dh,,,,avaConv,0.930302198,
ccgtH2ProMed,,electricity,,ratioConvOutFix,0.568,IND_CHP_H2 @ EnergyScope Gabriel
ccgtH2ProMed,,,,lifeConv,25,IND_CHP_H2 @ EnergyScope Gabriel
ccgtH2ProMed,,,,effConv,0.804,IND_CHP_H2 @ EnergyScope Gabriel
ccgtH2ProMed,2040,,,costOprConv,25,IND_CHP_H2 @ EnergyScope Gabriel
ccgtH2ProMed,2040,,,costExpConv,500,IND_CHP_H2 @ EnergyScope Gabriel
ccgtH2ProMed,,,,avaConv,1,IND_CHP_H2 @ EnergyScope Gabriel
chpDigestateDh,,electricity,,ratioConvOutFix,0.448,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateDh,,,,lifeConv,25,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateDh,,,,effConv,0.29,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateDh,2040,,,costOprConv,147.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateDh,2040,,,costExpConv,1374,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateDh,,,,avaConv,0.85,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateProLow,,electricity,,ratioConvOutFix,0.448,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateProLow,,,,lifeConv,25,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateProLow,,,,effConv,0.29,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateProLow,2040,,,costOprConv,147.9,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateProLow,2040,,,costExpConv,1374,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpDigestateProLow,,,,avaConv,0.85,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpGreenWasteDh,,electricity,,ratioConvOutFix,0.431,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
chpGreenWasteDh,,,,lifeConv,15,https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html
