carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance,comment
electricity,,5,1,1,1,eq,
h2,,3,1,1,1,eq,
districtHeat,,4,2,1,1,ineq,
spaceHeat,,4,2,1,1,none,
processHeat_low,,4,2,1,1,ineq,
processHeat_medium,,4,2,1,1,none,
processHeat_high,,4,2,1,1,ineq,
psngRoadPrvt,,5,2,1,1,none,
psngRoadPub,,5,2,1,1,none,
frtRoadLight,,5,2,1,1,none,
frtRoadHeavy,,5,2,1,1,none,
psngRail,,5,2,1,1,none,
frtRail,,5,2,1,1,none,
crudeOil,,2,1,1,1,eq,
refinedOil,,2,1,1,1,eq,
avaAndNavi,,2,1,1,1,eq,
rawBiogas,,3,1,1,1,eq,
biomass,sludge,3,1,1,1,ineq,
biomass,greenWaste,3,1,1,1,ineq,
biomass,wood,3,1,1,1,ineq,
biomass,waste,3,1,1,1,eq,
biomass,manure,3,1,1,1,ineq,
biomass,digestate,3,1,1,1,ineq,
co2,co2Pure,2,1,1,1,eq,
syngas,,3,1,1,1,eq,
methane,,3,1,1,1,eq,
coal,,2,1,1,1,eq,  
uranum,,2,1,1,1,eq,
hvc,,2,1,1,1,eq,highValueChemicals
ammonia,,2,1,1,1,eq,
co2,co2Removed,2,1,1,1,none,
