technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,region_expansion,technology_stBalance,region_disaggregate,timestep_cyclic
bioConversionSyngas,hydrothermalGasification,htgDigestate,,digestate,syngas,,,mature,none,,,,
bioConversionSyngas,hydrothermalGasification,htgSludge,,sludge,syngas,,,mature,none,,,,
bioConversionSyngas,hydrothermalGasification,htgManure,,manure,syngas,,,mature,none,,,,
bioConversionOil,hydrothermalLiquefaction,htlSludge,,sludge,crudeOil,,,mature,none,,,,
bioConversionOil,hydrothermalLiquefaction,htlGreenWaste,,greenWaste,crudeOil,,,mature,none,,,,
bioConversionOil,hydrothermalLiquefaction,htlManure,,manure,crudeOil,,,mature,none,,,,
bioConversionOil,pyrolysisOil,pyrWood,,wood,crudeOil,,,mature,none,,,,
bioConversionOil,pyrolysisOil,pyrGreenWaste,,greenWaste,crudeOil,,,mature,none,,,,
bioConversionSyngas,gasification,gasificationGreenWasteSyngas,,greenWaste,syngas,,,mature,none,,,,
bioConversionSyngas,gasification,gasificationWoodSyngas,,wood,syngas,,,mature,none,,,,
bioConversion,syngasUpgrade,methanation,,syngas,methane,,,mature,none,,,,
bioConversion,syngasUpgrade,fischerTropsch,,syngas,crudeOil,,,mature,none,,,,
bioConversion,syngasUpgrade,waterGasShift,,syngas,h2,,,mature,none,,,,
bioConversionBiogas,digestion,digestionManure,,manure,digestate; rawBiogas,,,mature,none,,,,
bioConversionBiogas,digestion,digestionGreenWaste,,greenWaste,digestate; rawBiogas,,,mature,none,,,,
bioConversionBiogas,digestion,digestionSludge,,sludge,digestate; rawBiogas,,,mature,none,,,,
bioConversion,upgrade,biogasUpgrade,,rawBiogas,methane,,,mature,none,,,,
bioConversionChp,chp,chpDigestateDh,,digestate,electricity; districtHeat,,,mature,none,,,,
bioConversionChp,chp,chpDigestateProLow,,digestate,electricity; processHeat_low,,,mature,none,,,,
bioConversionChp,chp,chpWoodDh,,wood,electricity; districtHeat,,,mature,none,,,,
bioConversionChp,chp,chpWoodProLow,,wood,electricity; processHeat_low,,,mature,none,,,,
bioConversionChp,chp,chpGreenWasteDh,,greenWaste,electricity; districtHeat,,,mature,none,,,,
bioConversionChp,chp,chpGreenWasteProLow,,greenWaste,electricity; processHeat_low,,,mature,none,,,,
bioConversionChp,chp,chpWasteDh,,waste,electricity; districtHeat,,,mature,none,,,,
bioConversionChp,chp,chpWasteProLow,,waste,electricity; processHeat_low,,,mature,none,,,,
bioConversionChp,chp,chpSyngasDh,,syngas,electricity; districtHeat,,,mature,none,,,,
bioConversionChp,chp,chpSyngasProLow,,syngas,electricity; processHeat_low,,,mature,none,,,,
bioConversionChp,chpCC,chpDigestateDhCC,,digestate,electricity; districtHeat; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpDigestateProLowCC,,digestate,electricity; processHeat_low; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpWoodDhCC,,wood,electricity; districtHeat; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpWoodProLowCC,,wood,electricity; processHeat_low; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpGreenWasteDhCC,,greenWaste,electricity; districtHeat; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpGreenWasteProLowCC,,greenWaste,electricity; processHeat_low; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpWasteDhCC,,waste,electricity; districtHeat; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpWasteProLowCC,,waste,electricity; processHeat_low; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpSyngasDhCC,,syngas,electricity; districtHeat; co2Pure,,,mature,none,,,,
bioConversionChp,chpCC,chpSyngasProLowCC,,syngas,electricity; processHeat_low; co2Pure,,,mature,none,,,,
bioConversionCoal,pyrolysisCoal,pyrWoodCoalDh,,wood,coal; districtHeat,,,mature,none,,,,
bioConversionCoal,hydrothermalCarbonization,htcDigestate,,digestate,coal,,,mature,none,,,,
bioConversionHvc,,biomassToHvc,,wood; processHeat_high; electricity,hvc,,,mature,none,,,,
gasTurbine,ccgtDh,ccgtGasDh,,methane,electricity; districtHeat,,,mature,none,,,,
gasTurbine,ccgtDh,ccgtGasDhCC,,methane,electricity; districtHeat; co2Pure,,,mature,none,,,,
gasTurbine,ccgtDh,ccgtH2Dh,,h2,electricity; districtHeat,,,mature,none,,,,
gasTurbine,ccgtProMed,ccgtGasProMed,,methane,electricity; processHeat_medium,,,mature,none,,,,
gasTurbine,ccgtProMed,ccgtGasProMedCC,,methane,electricity; processHeat_medium; co2Pure,,,mature,none,,,,
gasTurbine,ccgtProMed,ccgtH2ProMed,,h2,electricity; processHeat_medium,,,mature,none,,,,
gasTurbine,ocgt,ocgtGas,,methane,electricity,,,mature,none,,,,
gasTurbine,ocgt,ocgtGasCC,,methane,electricity; co2Pure,,,mature,none,,,,
gasTurbine,ocgt,ocgtGasChp,,methane,electricity; districtHeat,,,mature,none,,,,
gasTurbine,ocgt,ocgtGasChpCC,,methane,electricity; districtHeat; co2Pure,,,mature,none,,,,
gasTurbine,ocgt,ocgtH2,,h2,electricity,,,mature,none,,,,
gasTurbine,ocgt,ocgtH2Chp,,h2,electricity; districtHeat,,,mature,none,,,,
engine,engineDh,bioGasEngineDh,,rawBiogas,electricity; districtHeat,,,mature,none,,,,
engine,engineDh,methaneEngineDh,,methane,electricity; districtHeat,,,mature,none,,,,
engine,engineDh,syngasEngineDh,,syngas,electricity; districtHeat,,,mature,none,,,,
engine,engineProLow,bioGasEngineProLow,,rawBiogas,electricity; processHeat_low,,,mature,none,,,,
engine,engineProLow,methaneEngineProLow,,methane,electricity; processHeat_low,,,mature,none,,,,
engine,engineProLow,syngasEngineProLow,,syngas,electricity; processHeat_low,,,mature,none,,,,
engine,engineProMed,bioGasEngineProMed,,rawBiogas,electricity; processHeat_medium,,,mature,none,,,,
engine,engineProMed,methaneEngineProMed,,methane,electricity; processHeat_medium,,,mature,none,,,,
engine,engineProMed,syngasEngineProMed,,syngas,electricity; processHeat_medium,,,mature,none,,,,
engine,enginePeak,methaneEnginePeak,,methane,electricity,,,mature,none,,,,
engine,engineDh,bioGasEngineDhCC,,rawBiogas,electricity; districtHeat; co2Pure,,,mature,none,,,,
engine,engineDh,methaneEngineDhCC,,methane,electricity; districtHeat; co2Pure,,,mature,none,,,,
engine,engineDh,syngasEngineDhCC,,syngas,electricity; districtHeat; co2Pure,,,mature,none,,,,
engine,engineProLow,bioGasEngineProLowCC,,rawBiogas,electricity; processHeat_low; co2Pure,,,mature,none,,,,
engine,engineProLow,methaneEngineProLowCC,,methane,electricity; processHeat_low; co2Pure,,,mature,none,,,,
engine,engineProLow,syngasEngineProLowCC,,syngas,electricity; processHeat_low; co2Pure,,,mature,none,,,,
engine,engineProMed,bioGasEngineProMedCC,,rawBiogas,electricity; processHeat_medium; co2Pure,,,mature,none,,,,
