timestep,region,carrier,technology,parameter,minRel,maxRel,minAbs,maxAbs,comments
all,all,wood,,trdBuyUp,0.7,1.3,,,
all,all,greenWaste,,trdBuyUp,0.7,1.3,,,
all,all,sludge,,trdBuyUp,0.7,1.3,,,
all,all,waste,,trdBuyUp,0.7,1.3,,,
all,all,manure,,trdBuyUp,0.7,1.3,,,
,all,,wind,capaConvUp,0.7,1.3,,,
,all,,solar,capaConvUp,0.7,1.3,,,
,all,,wind,costExpConv,0.7,1.3,,,
,all,,solar,costExpConv,0.7,1.3,,,
,all,,htgDigestate,costExpConv,0.7,1.3,,,
,all,,htgGreenWaste,costExpConv,0.7,1.3,,,
,all,,htgSludge,costExpConv,0.7,1.3,,,
,all,,htgManure,costExpConv,0.7,1.3,,,
,all,,htlSludge,costExpConv,0.7,1.3,,,
,all,,htlGreenWaste,costExpConv,0.7,1.3,,,
,all,,htlManure,costExpConv,0.7,1.3,,,
,all,,biochemicalWoodOil,costExpConv,0.7,1.3,,,
,all,,pyrWood,costExpConv,0.7,1.3,,,
,all,,pyrGreenWaste,costExpConv,0.7,1.3,,,
,all,,gasificationGreenWasteSyngas,costExpConv,0.7,1.3,,,
,all,,gasificationWoodSyngas,costExpConv,0.7,1.3,,,
,all,,Methanation,costExpConv,0.7,1.3,,,
,all,,MethanationWithH2,costExpConv,0.7,1.3,,,
,all,,fischerTropsch,costExpConv,0.7,1.3,,,
,all,,waterGasShift,costExpConv,0.7,1.3,,,
,all,,digestionManure,costExpConv,0.7,1.3,,,
,all,,digestionGreenWaste,costExpConv,0.7,1.3,,,
,all,,digestionSludge,costExpConv,0.7,1.3,,,
,all,,biogasUpgrade,costExpConv,0.7,1.3,,,
,all,,pyrWoodCoalDh,costExpConv,0.7,1.3,,,
,all,,pyrWoodCoalProLow,costExpConv,0.7,1.3,,,
,all,,pyrMethaneH2,costExpConv,0.7,1.3,,,
,all,,htcDigestate,costExpConv,0.7,1.3,,,
,all,,biomassToHvc,costExpConv,0.7,1.3,,,
,all,,haberBoschH2AmmoniaDh,costExpConv,0.7,1.3,,,
,all,,haberBoschH2AmmoniaProLow,costExpConv,0.7,1.3,,,
,all,,ammoniaCracking,costExpConv,0.7,1.3,,,
,all,,gasToHvc,costExpConv,0.7,1.3,,,
,all,,stemMethaneReforming,costExpConv,0.7,1.3,,,
