crudeOil;HVC;syngas;initial cluster;cluster_final
339.5344323;554.7728328;0.381396975;0;0
310.6895751;476.9356849;0.75388018;0;0
132.5193206;386.7090354;150.5977746;1;1
452.7291286;496.4309139;0.276884031;0;0
316.0248419;500.4520445;0.307624269;0;0
298.958875;436.0255192;0.678387363;0;0
140.8084418;432.6092169;130.0617635;1;1
380.5772804;546.4754763;0.225641739;0;0
290.8339874;604.8514965;0.191150014;0;0
131.8027063;338.297195;165.3238902;1;1
304.1989187;551.3721657;0.394204807;0;0
165.4548061;425.8874289;213.0206157;1;1
348.4533286;514.0913072;0.706807668;0;0
248.6028698;394.335499;110.5645108;1;1
348.0389988;616.5049879;0.443512694;0;0
212.059275;548.681517;212.8069068;1;1
358.3232899;609.0963624;0.504847419;0;0
351.8674105;457.14976;1.382448347;0;0
262.6048619;469.7556741;0.536361498;0;0
307.5218959;466.0693993;0.411640982;0;0
183.3724049;518.2655883;183.1227713;1;1
290.9634525;431.1129804;0.301871928;0;0
325.8576072;551.8313277;0.612838374;0;0
303.2777277;437.1787379;0.311327067;0;0
214.2479625;486.0487608;208.9544828;1;1
141.2849897;559.1973595;229.9040944;1;1
296.401963;377.5666206;0.5377998;0;0
390.62246;589.2051372;0.308653614;0;0
138.4666484;534.6049525;175.2979071;1;1
165.4479705;543.3835455;139.5226651;1;1
402.613105;451.0026575;0.346704631;0;0
200.3201521;400.5943177;209.2703603;1;1
190.5393186;568.1113095;151.0417745;1;1
300.8442727;608.3909684;0.315794181;0;0
338.9728943;553.5489737;0.497411866;0;0
214.0880701;510.5111968;215.2877652;1;1
127.134871;424.2929906;143.9960112;1;1
153.8449252;461.2568412;139.4289651;1;1
185.0204018;524.0508159;201.6267001;1;1
433.683199;620.7192616;0.34369657;0;0
159.0372141;442.6512067;197.6223929;1;1
343.9898073;402.4957089;2.565895163;0;0
202.5919099;386.0584043;149.5396246;1;1
443.4799753;403.8821139;0.27565325;0;0
144.5253485;505.9253822;221.2990165;1;1
184.1378397;475.1763645;143.7740081;1;1
176.652079;598.5593406;205.2078979;1;1
362.5511058;408.7001546;0.282459147;0;0
196.0694812;472.5225;194.3408206;1;1
451.0678974;462.5414734;0.328138912;0;0
390.0239167;564.2122572;0.717959024;0;0
409.7749192;582.255169;1.072650655;0;0
311.8428342;421.043253;0.497993083;0;0
125.5442188;424.7788781;201.7357335;1;1
187.4058478;597.5300289;231.7880924;1;1
180.0642242;561.3082039;225.7368488;1;1
158.8462034;393.3934802;145.6137885;1;1
179.3450447;360.2147211;173.6478844;1;1
184.6278275;409.9521071;187.2109637;1;1
381.6614916;526.8188971;1.774232537;0;0
214.8763088;451.7127815;205.1540145;1;1
172.2324944;363.1102527;160.6325873;1;1
