iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
1,0.0,0.0,0.0,0.0,0.0,0.0,-554.9432661261806,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,-477.0745318713965,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,-386.8542447982583,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,-496.52236421100463,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,-500.67344521663085,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,-436.15579071179405,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,-432.71950822445393,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,-546.575050590825,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,-604.9219630025088,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,-338.3806545146496,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,-551.4784048151956,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,-425.9908413208446,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,-514.2633377860217,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,-394.4517941131467,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,-616.639121658357,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,-548.7831111173696,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,-609.2743453218644,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,-457.277503953495,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,-469.90286974558006,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,-466.1495037991027,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,-518.4427693704274,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,-431.2355149899092,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,-551.9725603282953,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,-437.3491220736983,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,-486.23452687175353,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,-559.3957201193226,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,-377.64715884640015,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,-589.3901633815613,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,-534.7259310291737,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,-543.4767044937568,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,-451.0989115837368,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,-400.7227502127693,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,-568.2149377905695,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,-608.5366667837626,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,-553.6676254953037,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,-510.6356450363213,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,-424.5052684564823,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,-461.33150464198906,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,-524.2025390185472,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,-620.8446126015039,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,-442.8076707378481,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,-402.6287059604091,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,-386.1947902674129,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,-404.0279086937911,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,-506.13515921040175,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,-475.2765004274485,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,-598.694790379005,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,-408.8111569809591,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,-472.6359177167512,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,-462.65341380450894,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,-564.3473633858457,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,-582.4005626348096,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,-421.1832325099825,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,-424.92740979645566,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,-597.6861041750973,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,-561.4140293060057,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,-393.53480420889457,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,-360.3505550233811,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,-410.114295939983,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,-526.9906487084505,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,-451.8726536341076,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,-363.20046362850695,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,-499.2374625229453,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,-335.17360033207524,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,-477.3860652401967,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,-572.9693423342034,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,-442.2089747212733,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,-536.7375059086785,0.0,0.0,0.0,0.0
