iteration,objectiveValue
1,1201526.822099058
2,1349080.1085707638
3,1200445.6610261868
4,1124293.9379855955
5,1219730.7496938328
6,1155519.564362678
7,1130549.4967353672
8,1296969.0350725253
9,1175568.4281722193
10,1477869.354105245
11,1521677.0580411162
12,1450037.0106230406
13,1183664.7378510225
14,1499478.1738225196
15,991813.8752562294
16,1229119.934464209
17,1228540.4981403346
18,1331223.0799119694
19,1265353.019763769
20,1390394.0017015394
21,1296488.884833968
22,1233421.1849320857
23,971315.38654693
24,1140324.7327049957
25,1605230.345466356
26,1371763.5751148686
27,1222589.3942139454
28,1543569.5203732788
29,1105070.2722309905
30,1111771.3596462556
31,1155461.9151172554
32,1198570.287062167
33,1085052.7128083585
34,1086223.2966298214
35,1181993.4181561917
36,1314426.1296097278
37,1297452.4411270565
38,1092121.5998597462
39,1159764.8743546903
40,1087270.0230870913
41,1280259.8511183525
42,1210424.840633246
43,1057371.9918585548
44,1071997.8782691883
45,1163016.2560441147
46,1079028.5529044536
47,1214495.7888340463
48,1251369.0205419385
49,1121552.1643881246
50,1125692.7783477588
51,1100132.1368258195
52,1300463.0292067651
53,1434131.8917435594
54,1338658.928038652
55,1263215.4410596231
56,1004474.0800709764
57,1143378.2990210445
58,1524775.0534502496
59,1324659.4499714505
60,1556439.159731983
61,1317457.4419227077
62,1124566.3704684067
63,1086242.0967733066
64,1193841.0101551514
65,1171278.535909487
66,1087011.479967222
67,1435842.4230991802
68,1221193.7952813385
69,1384971.709549214
70,1149561.9609175292
71,1331442.4523513678
72,1296758.5268142584
73,1449816.9943312558
74,1242486.988678438
75,1140459.4817622243
76,1114186.9243717475
77,1128830.2582630832
78,1448183.5398077266
79,1387919.9570579731
80,1105900.0811023137
81,1180655.9397048638
82,1242569.5084091867
83,1320875.621021649
84,1029274.7881440044
85,1161185.394060228
86,999274.8167501524
87,1340427.9391649344
88,1500587.8436151424
89,1460604.452817153
90,1118966.4087016366
91,1281941.954324175
92,1426848.8141912406
93,1590221.5994991232
94,1271197.165427395
95,1370935.710476363
96,1241910.8447566617
97,1581844.657711606
98,944503.1011773228
99,1187410.377153877
100,1219835.215567582
101,1539594.1031120543
102,1335283.565249632
103,1301430.8643621912
104,1278798.8824375595
105,1324576.7653209977
106,1263708.1484812298
107,1343768.607132337
108,1305278.068875517
109,1162173.7491424764
110,1196566.1051837732
111,1294629.203657531
112,1103454.5932949362
113,1181260.2729597995
114,1269081.6858214864
115,1323194.575560999
116,1303266.572793289
117,1236049.738582842
118,998840.9582657588
119,1487387.0169859214
120,1307082.778938899
121,1164319.049758316
122,1206129.8328686133
123,968859.4576933824
124,1177493.593150674
125,1407558.8995141226
126,1142995.4452666398
127,1128428.373946639
128,958813.3840331248
129,946024.11913327
130,1293429.8783475815
131,1357743.1900959287
132,1174894.1145188657
133,1455561.6552711306
134,1343919.4204219538
135,1495148.4659367604
136,1330646.940155053
137,1092547.2988289525
138,1309830.806445307
139,1428719.9075766038
140,1253606.483549676
141,1405706.8414365712
142,1247008.4862989776
143,1532595.2884682484
144,1173240.392446577
145,1204330.5404052637
146,1160792.7025828091
147,1328090.2137989372
148,1331398.4013791846
149,1261592.497264991
150,1046093.5478638876
151,1166374.025918203
152,1299863.869291637
153,1062796.2855466749
154,1455667.1933267568
155,1266515.5827398358
156,1057270.309858682
157,1425437.000122578
158,1183018.5140381
159,1320826.115479577
160,1368117.7399721714
161,1233079.1361113442
162,1241440.5240058205
163,1082350.2955687095
164,1159894.0097588585
165,1321065.4549710392
