iteration,objectiveValue
1,1178325.2337266551
2,1339964.647011548
3,1186166.3633503758
4,1103484.8232886738
5,1206052.5960492697
6,1146819.2474158194
7,1118969.528726322
8,1280918.9480157844
9,1160401.660239411
10,1462773.3533721415
11,1507635.296334654
12,1435485.9189506192
13,1158906.346005099
14,1484127.7944328042
15,976117.6968870248
16,1214718.77328289
17,1213175.1785392482
18,1317277.1084768665
19,1248208.0010210548
20,1378690.4405853266
21,1280076.9551109606
22,1213525.2279504682
23,959414.5462377602
24,1125332.435496484
25,1589702.7702012055
26,1357479.9995008863
27,1212419.4800275424
28,1516684.6985276544
29,1088172.302397373
30,1088976.108916002
31,1141082.714949945
32,1190490.679924126
33,1065911.1098504085
34,1072249.855248169
35,1167992.4229819889
36,1294761.500834848
37,1280590.3919082286
38,1075396.859763898
39,1148064.302085152
40,1070429.025714115
41,1264504.0143742776
42,1193233.7139115515
43,1040825.1546505318
44,1056406.9584976272
45,1148639.3960904595
46,1060538.017732983
47,1188861.964342066
48,1238288.3310648852
49,1104497.6350471438
50,1112575.968344594
51,1082807.8093044942
52,1278563.4554618006
53,1415792.2300392804
54,1327766.1187555357
55,1238657.509130973
56,991182.8282053024
57,1138728.7113610066
58,1514212.3694491885
59,1312082.9525478545
60,1538557.481547214
61,1305514.599669617
62,1111699.8529031214
63,1072834.319900684
64,1181631.6868268212
65,1150733.4934303556
66,1068751.115557384
67,1416623.922650625
68,1206729.1580776554
69,1376339.5248188218
70,1128374.9895910483
71,1316282.4031309325
72,1287842.2564396665
73,1433247.7171285904
74,1229303.1591716723
75,1126325.1151696243
76,1100166.3513829203
77,1112204.4060156017
78,1434105.1040909735
79,1371767.981276716
80,1091568.5184655318
81,1169179.9696903296
82,1219780.6187402676
83,1303657.9268639076
84,1005369.3796587132
85,1151309.5977679656
86,989822.0161859536
87,1321708.1664125316
88,1479426.9357626322
89,1445974.144384269
90,1105342.753204758
91,1271766.9692239594
92,1413153.2979058668
93,1563288.1498226512
94,1260050.2975591945
95,1351042.5608616965
96,1226547.777812699
97,1569807.5092465044
98,932643.3497478762
99,1169485.3957331255
100,1211157.0329065984
101,1515681.577969079
102,1321092.671322425
103,1286332.2192161337
104,1264614.9869468105
105,1299737.1553788448
106,1251935.6752957972
107,1324368.021876005
108,1283193.7972114603
109,1150604.5809799707
110,1178050.30166624
111,1273969.7091185895
112,1077227.9542506435
113,1166318.7727773057
114,1245225.0326211543
115,1307008.91842902
116,1282931.700257433
117,1225300.0321710238
118,979664.4223352318
119,1459544.1853798323
120,1293844.6848633902
121,1143794.5551745745
122,1191137.296084108
123,947013.577797798
124,1163813.2561975657
125,1385393.6769374332
126,1128458.7725923432
127,1105891.8098296055
128,945592.8894266266
129,935371.1507358836
130,1277102.4024516884
131,1334542.5144138846
132,1154604.5484376058
133,1440542.5566540814
134,1326334.911526983
135,1476667.7712802412
136,1316321.3241192617
137,1079323.854509835
138,1299950.9436359012
139,1408901.0270665248
140,1241544.709228512
141,1393071.181692765
142,1232968.8462959928
143,1520771.8144116637
144,1153970.7389759894
145,1187614.704401911
146,1139874.0840791014
147,1317057.0111639877
148,1318855.4638046091
149,1239708.365148191
150,1028837.4577879152
151,1157361.619906783
152,1283509.8725391668
153,1046182.51048092
154,1445306.4984849535
155,1247528.6142069264
156,1038847.2551626004
157,1416777.717310754
158,1167066.851775778
159,1303335.9140709653
160,1351756.0558602954
161,1216088.3647393747
162,1230131.369530233
163,1070194.968883393
164,1148828.9190252654
165,1297875.4937389356
166,1079038.0261298376
167,1400392.2726639432
168,1380459.294587804
169,943177.5622985635
170,1067948.743704637
171,1223506.283661507
172,1263459.0703933986
173,1560292.623614277
174,1383188.716586785
175,1275963.2322815144
176,1260954.143013856
177,1371495.588179486
178,1239549.8530727057
179,1305077.599184475
180,1106398.6299733813
181,1217806.621249065
182,1065254.2624253533
183,1013614.5400503726
184,1293431.9012322344
185,1208071.9049064969
186,1286102.2407414375
187,1208441.483427068
188,1527773.6885568586
189,1281329.8701974854
190,1162927.8982156771
191,1260452.7044099427
192,1373428.1420312198
193,1494322.4055039613
194,1058091.75649646
195,1504608.1167903068
196,1228079.987079712
197,1212635.65120565
198,1406197.071714263
199,1242086.9466674894
200,1099049.6559356789
201,1279994.7413021023
202,1222694.9680776568
203,1411139.0895573548
204,1236053.267952341
205,1352436.97045507
206,1317280.7802544788
207,1562394.0346230858
208,1210947.5738262872
209,1251155.4963112655
210,1175431.482183401
211,1199301.937094718
212,1390256.9406968576
213,1230954.0393816945
214,1153737.5036327986
215,1216984.705214523
216,1064003.4359227668
217,1264359.5075423997
218,1514629.465112015
219,1224727.6149705837
220,1187931.8942400394
221,886759.5500303403
222,1032265.15738749
223,1224923.420647612
224,1413884.7915233998
225,1050497.9569936355
226,988809.9894279564
227,1139649.1312806178
228,1297001.8379031057
229,1196378.9755576835
230,1029026.0812937756
231,1318266.1228513182
232,1215690.7445631544
233,984907.9636052122
234,1161080.5820325478
235,926042.247951922
236,1138561.3359922369
237,1151072.5963272173
238,1034177.669842884
239,1186901.739307914
240,1384654.108849654
241,1397879.2881836293
242,1381593.6686478013
243,1382106.200723114
244,1217740.275054567
245,1192426.5715520482
246,1291071.6531849948
247,1444482.004707201
248,1464078.278769534
249,1383457.9965426426
250,1264172.1712162218
251,1117214.187304949
252,1408770.7044750638
253,1174915.8557543962
254,1183940.0084005587
255,898230.7004895795
256,1391378.6407012402
257,945553.8253979954
258,1131813.2319939649
259,1248060.6152238024
260,1226903.4255605796
261,1402607.0384233063
262,1571270.208155595
263,1325802.8883170637
264,1549082.5410917844
265,1350996.7731937438
266,1302643.9528813465
267,1281775.425338669
268,1271308.0740907046
269,1042557.423738623
270,1570283.3858605423
271,1102736.164889233
272,1104613.856851649
273,1255377.6484028886
274,1253472.3066329716
275,1184554.894784075
276,1146662.485157085
277,949116.57085371
278,1264986.0728871345
279,1114887.00562374
280,1128911.460538274
281,1147612.6804336251
282,1161417.3407221737
283,1321749.9467947704
284,1149958.0408457075
285,1084926.2926978974
286,1373893.0171874834
287,1239664.242086116
288,1168744.3663116626
289,1400292.0893964914
290,1186947.1622621547
291,1085913.8439973516
292,1327127.212325303
293,1139660.2151854676
294,1148465.561911464
295,1440466.7223751333
296,1096854.2492819617
297,1017677.0408841678
298,1297520.5977240826
299,1166718.746567048
300,1000276.0242184206
301,1319404.4403738948
302,1161051.2316834305
303,1179875.905339071
304,1210805.665997915
305,1176583.335890636
306,1057803.3147397155
307,1079021.0852204754
308,1198179.3611895158
309,1203066.96281676
310,917335.9798924748
311,1207570.6561101675
312,1237123.4681509696
313,1232229.7743406217
314,1317362.3104155394
315,1404313.181983542
316,1009576.1713886268
317,1270568.0286994807
318,1235986.8473728169
319,937540.046013725
320,1082604.039758145
321,1000481.6938185825
322,1416475.8463781266
323,1356603.4968597975
324,1527780.441427417
325,1332662.3552744428
326,1101233.292855102
327,1380401.314300449
328,1369685.5860323724
329,1149459.1638519175
330,1340739.1724923376
331,1241475.6188033551
332,1424490.468867852
333,1500651.731375072
334,1279816.390792117
335,988527.6250865893
336,1329766.6458127997
337,1294225.6831707254
338,1336186.448287975
339,1512125.9314592064
340,1100556.340757042
341,1419007.286937091
342,1263897.6886334044
343,1379330.1054103875
344,1296582.4351624895
345,1346654.179469881
346,1093006.0374573828
347,1218440.131343543
348,1361060.5654424536
349,1412532.5436560842
350,1414318.3138075117
351,1440403.8473460886
352,1220029.152985345
353,1231900.719028908
354,1153010.0642521237
355,1261369.1741726748
356,1237150.164969137
357,1283239.4059235535
358,1253630.2787220986
359,1264518.0633216246
360,1172363.1202656792
361,918538.4542714512
362,1417870.968946674
363,1152922.2256525292
364,1029094.7124353372
365,1026503.9846822936
366,1017382.5692258528
367,1297729.9151168005
368,1258272.228989192
369,1505447.337327689
370,1215084.8667069138
371,1185366.6956533534
372,1102145.2902866332
373,1186980.4107078917
374,1254479.7863095978
375,1086004.640130269
376,1336302.3103287967
377,1148908.4652493172
378,1251304.4947209726
379,1379740.7533326834
380,1009491.2785857812
381,1038325.0443253192
382,1253823.851219692
383,1427844.4194816905
384,1217128.8440218414
385,1083982.1322519851
386,1281114.6756039427
387,1333225.6069698832
388,1535846.6204646395
389,897058.5779832776
390,1210244.359176031
391,1107280.7471358443
392,1344709.6641775777
393,1396651.6148838238
394,1181382.8380228318
395,1130331.7628088535
396,1537874.4383883623
397,1078348.740796935
398,1159975.073027568
399,1350630.6579142562
400,1261177.0906566042
401,961713.9685103945
402,1236079.9868073512
403,1197813.6559994027
404,1140945.633316637
405,1126596.9777319988
406,1100653.75736616
407,1267400.261974224
408,1419044.6806275586
409,1107711.5122715824
410,1259567.7932345436
411,1198832.6852636277
412,978934.234921125
413,1480676.077215789
414,1498230.93933825
415,1172865.032217559
416,1165845.40033263
417,1223734.6840825223
418,1087638.7147140764
419,1021663.9923304226
420,1253857.6439899404
421,1162071.6203535942
422,1074345.2158680365
423,1116144.149016199
424,1285200.135679331
425,1263517.7548401388
426,1158991.5360366453
427,1092591.2912409035
428,1098800.0924650729
429,1160269.797626752
430,1129592.0309767302
431,1349188.2254642874
432,1194177.3789733646
433,1287165.5447592011
434,1105598.7475322403
435,1047154.3930072788
436,1403445.508085893
437,1150457.784019999
438,1047725.1309521582
439,872806.6103910465
440,1225770.2497051358
441,1206303.1681014698
442,1072912.9496316311
443,1180862.3963099231
444,1004630.953651617
445,1085775.5494314542
446,1080797.1911435863
447,1325352.916737455
448,1243145.8778010109
449,1085522.7265982523
450,1347097.247885471
451,1311307.1876890084
452,1085116.5120726817
453,1195639.0276167258
454,985301.513835676
455,1320610.2397852582
456,1241092.0146391224
457,1333573.6083265922
458,1270143.623149295
459,1478154.8908084205
460,1078917.354682953
461,1059038.0490046649
462,1459008.5912120286
463,1159258.945719779
464,1264795.2394451387
465,1321306.2282708748
