timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
30th < 2040,EU < AT < at < 49AT,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.17738563950451094,one node
30th < 2040,EU < AT < at < 50AT,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.06500878101105913,one node
30th < 2040,EU < AT < at < 51AT,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.26347636581304623,one node
30th < 2040,EU < BE < be < 28BE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.580017253856635,one node
30th < 2040,EU < BG < bg < 66BG,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.6764291955157787,one node
30th < 2040,EU < CZ < cz < 39CZ,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.7308159374871327,one node
30th < 2040,EU < CZ < cz < 40CZ,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.0003074604860122598,one node
30th < 2040,EU < DE < de < 31DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.374840112973847,one node
30th < 2040,EU < DE < de < 32DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,3.321199234592256,one node
30th < 2040,EU < DE < de < 33DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,9.113950385753359,one node
30th < 2040,EU < DE < de < 34DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,1.4387863328873505,one node
30th < 2040,EU < DE < de < 35DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.688594087540446,one node
30th < 2040,EU < DE < de < 36DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.128389842048705,one node
30th < 2040,EU < DE < de < 37DE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,3.8809054025850878,one node
30th < 2040,EU < DK < dk_e < 72DK,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,1.4494493080741946,one node
30th < 2040,EU < DK < dk_w < 38DK,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.048427074950299555,one node
30th < 2040,EU < EE < ee < 73EE,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.9100779970657996,one node
30th < 2040,EU < ES < es < 01ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.02030226925072023,one node
30th < 2040,EU < ES < es < 02ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.03129248512084921,one node
30th < 2040,EU < ES < es < 03ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.00799331673351901,one node
30th < 2040,EU < ES < es < 04ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.07996652829825515,one node
30th < 2040,EU < ES < es < 05ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.15794378965308914,one node
30th < 2040,EU < ES < es < 06ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.20344975963879283,one node
30th < 2040,EU < ES < es < 07ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.46082789500036064,one node
30th < 2040,EU < ES < es < 08ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.026860204658300982,one node
30th < 2040,EU < ES < es < 09ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.24423117777577225,one node
30th < 2040,EU < ES < es < 10ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.15678276224189006,one node
30th < 2040,EU < ES < es < 11ES,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.5755780840256698,one node
30th < 2040,EU < FI < fi < 74FI,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.6456861551860335e-5,one node
30th < 2040,EU < FI < fi < 75FI,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.6291455438006698,one node
30th < 2040,EU < FR < fr < 14FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,3.4862507727641816,one node
30th < 2040,EU < FR < fr < 15FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.3233998730340487,one node
30th < 2040,EU < FR < fr < 16FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,6.302395587541354,one node
30th < 2040,EU < FR < fr < 17FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.29785329723993376,one node
30th < 2040,EU < FR < fr < 18FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.32883462483153597,one node
30th < 2040,EU < FR < fr < 19FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.49411853132846,one node
30th < 2040,EU < FR < fr < 20FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.5628803376509289,one node
30th < 2040,EU < FR < fr < 21FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,2.684706794609728,one node
30th < 2040,EU < FR < fr < 22FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.13172471896528917,one node
30th < 2040,EU < FR < fr < 23FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,15.608272210669712,one node
30th < 2040,EU < FR < fr < 24FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.1772859451449168,one node
30th < 2040,EU < FR < fr < 25FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,0.8524000536903784,one node
30th < 2040,EU < FR < fr < 26FR,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,4.9413856448527405,one node
