timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
30th < 2040,EU < AT,none,ammonia,none,demand,-2.1080752711199997,one node
30th < 2040,EU < AT,none,avaAndNavi,none,demand,-11.795798997720002,one node
30th < 2040,EU < AT,none,hvc,none,demand,-9.18465766152,one node
30th < 2040,EU < BE,none,ammonia,none,demand,-7.0663073571599995,one node
30th < 2040,EU < BE,none,avaAndNavi,none,demand,-21.32242300428,one node
30th < 2040,EU < BE,none,hvc,none,demand,-30.229993771560004,one node
30th < 2040,EU < BG,none,ammonia,none,demand,-1.69466821776,one node
30th < 2040,EU < BG,none,avaAndNavi,none,demand,-2.8538130024,one node
30th < 2040,EU < BG,none,hvc,none,demand,-1.4900250430800002,one node
30th < 2040,EU < CZ,none,ammonia,none,demand,-1.2655212051600002,one node
30th < 2040,EU < CZ,none,avaAndNavi,none,demand,-5.48459899776,one node
30th < 2040,EU < CZ,none,hvc,none,demand,-13.570115018880001,one node
30th < 2040,EU < DE,none,ammonia,none,demand,-12.195933810120001,one node
30th < 2040,EU < DE,none,avaAndNavi,none,demand,-124.97501600964,one node
30th < 2040,EU < DE,none,hvc,none,demand,-95.61254476559999,one node
30th < 2040,EU < DK,none,ammonia,none,demand,-0.12343025712,one node
30th < 2040,EU < DK,none,avaAndNavi,none,demand,-13.94179199892,one node
30th < 2040,EU < DK,none,hvc,none,demand,-1.13556518604,one node
30th < 2040,EU < EE,none,ammonia,none,demand,-0.01798474428,one node
30th < 2040,EU < EE,none,avaAndNavi,none,demand,-0.87406199892,one node
30th < 2040,EU < EE,none,hvc,none,demand,-0.32637014616,one node
30th < 2040,EU < ES,none,ammonia,none,demand,-2.19503021976,one node
30th < 2040,EU < ES,none,avaAndNavi,none,demand,-96.59697201600001,one node
30th < 2040,EU < ES,none,hvc,none,demand,-26.3345348982,one node
30th < 2040,EU < FI,none,ammonia,none,demand,-0.22967950872,one node
30th < 2040,EU < FI,none,avaAndNavi,none,demand,-12.059705000280001,one node
30th < 2040,EU < FI,none,hvc,none,demand,-7.373080884,one node
30th < 2040,EU < FR,none,ammonia,none,demand,-5.89334620416,one node
30th < 2040,EU < FR,none,avaAndNavi,none,demand,-96.87529400892,one node
30th < 2040,EU < FR,none,hvc,none,demand,-65.16497005272,one node
30th < 2040,EU < GR,none,ammonia,none,demand,-0.6765492978,one node
30th < 2040,EU < GR,none,avaAndNavi,none,demand,-23.20878900012,one node
30th < 2040,EU < GR,none,hvc,none,demand,-2.7542131164000003,one node
30th < 2040,EU < HR,none,ammonia,none,demand,-1.69276646556,one node
30th < 2040,EU < HR,none,avaAndNavi,none,demand,-3.02849000412,one node
30th < 2040,EU < HR,none,hvc,none,demand,-0.8506523443200001,one node
30th < 2040,EU < HU,none,ammonia,none,demand,-77.05369909872,one node
30th < 2040,EU < HU,none,avaAndNavi,none,demand,-3.3337499956800003,one node
30th < 2040,EU < HU,none,hvc,none,demand,-8.59504001952,one node
30th < 2040,EU < IE,none,ammonia,none,demand,-0.04704070944,one node
30th < 2040,EU < IE,none,avaAndNavi,none,demand,-14.023151996880001,one node
30th < 2040,EU < IE,none,hvc,none,demand,-1.35011802312,one node
30th < 2040,EU < IT,none,ammonia,none,demand,-2.11259115624,one node
30th < 2040,EU < IT,none,avaAndNavi,none,demand,-63.704824992960006,one node
30th < 2040,EU < IT,none,hvc,none,demand,-33.7873059402,one node
30th < 2040,EU < LT,none,ammonia,none,demand,-4.03282540572,one node
30th < 2040,EU < LT,none,avaAndNavi,none,demand,-1.503540996,one node
30th < 2040,EU < LT,none,hvc,none,demand,-1.33457617128,one node
30th < 2040,EU < LU,none,ammonia,none,demand,-0.0161886114,one node
30th < 2040,EU < LU,none,avaAndNavi,none,demand,-6.99116900028,one node
30th < 2040,EU < LU,none,hvc,none,demand,-0.21454945572,one node
30th < 2040,EU < LV,none,ammonia,none,demand,-0.00367799988,one node
30th < 2040,EU < LV,none,avaAndNavi,none,demand,-1.8470089977600002,one node
30th < 2040,EU < LV,none,hvc,none,demand,-0.50069143056,one node
