timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
30th < 2040,EU,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,172.8866072788688,one node
30th < 2040,nonEU,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costOprStSize,18.405995334543153,one node
30th < 2040,EU,none,none,storage < battery < redoxBattery,none,none,costOprStSize,1.7413403146061392e-5,one node
30th < 2040,nonEU,none,none,storage < battery < redoxBattery,none,none,costOprStSize,1.6664705618286516e-5,one node
30th < 2040,EU,none,none,storage < battery < lithiumBattery,none,none,costOprStSize,1.985480644822537e-5,one node
30th < 2040,nonEU,none,none,storage < battery < lithiumBattery,none,none,costOprStSize,1.8540746139222648e-5,one node
30th < 2040,EU,none,none,storage < gasStorage < methaneStorage,none,none,costOprStSize,2039.972660814581,one node
30th < 2040,nonEU,none,none,storage < gasStorage < methaneStorage,none,none,costOprStSize,74.5268609047883,one node
30th < 2040,EU,none,none,proHeat < electricHeatPro < eBoilerProLow,none,none,costExpStSize,5.740241731202733e-5,one node
30th < 2040,nonEU,none,none,proHeat < electricHeatPro < eBoilerProLow,none,none,costExpStSize,6.013664438372658e-5,one node
30th < 2040,EU,none,none,networkHeat < heatStorage < largeWaterTank,none,none,costExpStSize,0.00011621420378609531,one node
30th < 2040,nonEU,none,none,networkHeat < heatStorage < largeWaterTank,none,none,costExpStSize,0.00011557904056044118,one node
30th < 2040,EU,none,none,spaceHeat < electricHeat < resistiveHeatSpace,none,none,costExpStSize,1.2784525736015311e-5,one node
30th < 2040,nonEU,none,none,spaceHeat < electricHeat < resistiveHeatSpace,none,none,costExpStSize,1.2464073520301088e-5,one node
30th < 2040,EU,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costExpStSize,2067.1711045417346,one node
30th < 2040,nonEU,none,none,networkHeat < heatStorage < pitThermalStorage,none,none,costExpStSize,220.07686023085063,one node
30th < 2040,EU,none,none,storage < battery < redoxBattery,none,none,costExpStSize,9.921529562018688e-5,one node
30th < 2040,nonEU,none,none,storage < battery < redoxBattery,none,none,costExpStSize,9.494948692528574e-5,one node
30th < 2040,EU,none,none,proHeat < heatpumpPro < heatpumpAirProLow,none,none,costExpStSize,1.3259036171131616e-5,one node
30th < 2040,nonEU,none,none,proHeat < heatpumpPro < heatpumpAirProLow,none,none,costExpStSize,1.1982168799808991e-5,one node
30th < 2040,EU,none,none,proHeat < heatpumpPro < heatpumpGroundProLow,none,none,costExpStSize,9.758113593068752e-5,one node
30th < 2040,nonEU,none,none,proHeat < heatpumpPro < heatpumpGroundProLow,none,none,costExpStSize,9.891800742733315e-5,one node
30th < 2040,EU,none,none,storage < battery < lithiumBattery,none,none,costExpStSize,0.00011338506215131404,one node
30th < 2040,nonEU,none,none,storage < battery < lithiumBattery,none,none,costExpStSize,0.00010588084345266406,one node
30th < 2040,EU,none,none,storage < battery < lithiumBattery,none,none,costOprStIn,2.5071456688625957e-5,one node
30th < 2040,EU,none,none,storage < battery < redoxBattery,none,none,costOprStIn,1.858128871891345e-5,one node
30th < 2040,nonEU,none,none,storage < battery < lithiumBattery,none,none,costOprStIn,2.471997297055043e-5,one node
30th < 2040,nonEU,none,none,storage < battery < redoxBattery,none,none,costOprStIn,1.769659971169593e-5,one node
30th < 2040,EU,none,none,none,none,rawBiogas,costLss,1.0989005585252932e-5,one node
30th < 2040,EU,none,none,none,none,coal,trdBuyPrc,4.9929946016607406e-5,one node
30th < 2040,EU,none,none,none,none,crudeOil,trdBuyPrc,72358.18080869196,one node
30th < 2040,EU,none,none,none,none,methane,trdBuyPrc,0.0026467516890702992,one node
