timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
30th < 2040,EU,none,ammonia,none,demand,-138.17676308591996,one node
30th < 2040,EU,none,avaAndNavi,none,demand,-604.5765440121603,one node
30th < 2040,EU,none,electricity,none,demand,-2343.253208644515,one node
30th < 2040,EU,none,hvc,none,demand,-394.2380448990001,one node
30th < 2040,EU,none,processHeat_high,none,demand,-737.9816825104782,one node
30th < 2040,EU,none,processHeat_low,none,demand,-544.0885512553738,one node
30th < 2040,nonEU,none,ammonia,none,demand,-32.538123615479996,one node
30th < 2040,nonEU,none,avaAndNavi,none,demand,-202.27925789736003,one node
30th < 2040,nonEU,none,electricity,none,demand,-450.8275901604069,one node
30th < 2040,nonEU,none,hvc,none,demand,-130.23581231988,one node
30th < 2040,nonEU,none,processHeat_high,none,demand,-84.38217391345512,one node
30th < 2040,nonEU,none,processHeat_low,none,demand,-72.66790398695484,one node
30th < 2040,EU,none,frtRail,none,missCapa,0.0,one node
30th < 2040,EU,none,frtRoadHeavy,none,missCapa,0.0,one node
30th < 2040,EU,none,frtRoadLight,none,missCapa,0.0,one node
30th < 2040,EU,none,processHeat_high,none,missCapa,0.0,one node
30th < 2040,EU,none,processHeat_low,none,missCapa,0.0,one node
30th < 2040,EU,none,processHeat_medium,none,missCapa,0.0,one node
30th < 2040,EU,none,psngRail,none,missCapa,0.0,one node
30th < 2040,EU,none,psngRoadPrvt,none,missCapa,0.0,one node
30th < 2040,EU,none,psngRoadPub,none,missCapa,0.0,one node
30th < 2040,EU,none,spaceHeat,none,missCapa,0.0,one node
30th < 2040,nonEU,none,frtRail,none,missCapa,0.0,one node
30th < 2040,nonEU,none,frtRoadHeavy,none,missCapa,0.0,one node
30th < 2040,nonEU,none,frtRoadLight,none,missCapa,0.0,one node
30th < 2040,nonEU,none,processHeat_high,none,missCapa,0.0,one node
30th < 2040,nonEU,none,processHeat_low,none,missCapa,0.0,one node
30th < 2040,nonEU,none,processHeat_medium,none,missCapa,0.0,one node
30th < 2040,nonEU,none,psngRail,none,missCapa,0.0,one node
30th < 2040,nonEU,none,psngRoadPrvt,none,missCapa,0.0,one node
30th < 2040,nonEU,none,psngRoadPub,none,missCapa,0.0,one node
30th < 2040,nonEU,none,spaceHeat,none,missCapa,0.0,one node
30th < 2040,EU,storage < gasStorage < h2StorageCavern,none,1,capaStSize,5.412050371488984e-5,one node
30th < 2040,nonEU,storage < gasStorage < h2StorageCavern,none,1,capaStSize,5.4031354232061644e-5,one node
30th < 2040,EU,storage < gasStorage < h2StorageCavern,none,1,expStSize,5.412050371488984e-5,one node
30th < 2040,nonEU,storage < gasStorage < h2StorageCavern,none,1,expStSize,5.403135423206165e-5,one node
30th < 2040,EU,proHeat < electricHeatPro < eBoilerProLow,none,none,expConv,1.698663705281658e-5,one node
30th < 2040,nonEU,proHeat < electricHeatPro < eBoilerProLow,none,none,expConv,3.4891201905911256e-5,one node
30th < 2040,EU,proHeat < electricHeatPro < eBoilerProLow,none,1,capaStOut,1.434822518624117e-5,one node
30th < 2040,nonEU,proHeat < electricHeatPro < eBoilerProLow,none,1,capaStOut,1.5031668629429366e-5,one node
30th < 2040,EU,proHeat < electricHeatPro < eBoilerProLow,none,1,expStOut,1.434822518624117e-5,one node
30th < 2040,nonEU,proHeat < electricHeatPro < eBoilerProLow,none,1,expStOut,1.5031668629429366e-5,one node
30th < 2040,EU,proHeat < electricHeatPro < eBoilerProLow,none,none,capaConv,1.698663705281658e-5,one node
30th < 2040,nonEU,proHeat < electricHeatPro < eBoilerProLow,none,none,capaConv,3.4891201905911256e-5,one node
30th < 2040,EU,proHeat < electricHeatPro < eBoilerProLow,none,1,capaStIn,1.434822518624117e-5,one node
30th < 2040,nonEU,proHeat < electricHeatPro < eBoilerProLow,none,1,capaStIn,1.5031668629429366e-5,one node
30th < 2040,EU,proHeat < electricHeatPro < eBoilerProLow,none,1,expStIn,1.434822518624117e-5,one node
30th < 2040,nonEU,proHeat < electricHeatPro < eBoilerProLow,none,1,expStIn,1.5031668629429366e-5,one node
30th < 2040,EU,proHeat < heatpumpPro < heatpumpGroundProMed,none,none,expConv,23.33512587112495,one node
30th < 2040,nonEU,proHeat < heatpumpPro < heatpumpGroundProMed,none,none,expConv,5.191447150870938,one node
30th < 2040,EU,proHeat < heatpumpPro < heatpumpGroundProMed,none,none,capaConv,23.335125871124955,one node
30th < 2040,nonEU,proHeat < heatpumpPro < heatpumpGroundProMed,none,none,capaConv,5.191447150870938,one node
30th < 2040,EU < AT < at < 50AT,wind < onshore < onshore_b,none,none,expConv,13.481406100227698,one node
30th < 2040,EU < BE < be < 28BE,wind < onshore < onshore_b,none,none,expConv,2.768011233418137,one node
30th < 2040,EU < BG < bg < 66BG,wind < onshore < onshore_b,none,none,expConv,34.759214101722094,one node
30th < 2040,EU < CZ < cz < 40CZ,wind < onshore < onshore_b,none,none,expConv,19.607606179608595,one node
30th < 2040,EU < DE < de < 31DE,wind < onshore < onshore_b,none,none,expConv,24.427600234937728,one node
30th < 2040,EU < DE < de < 32DE,wind < onshore < onshore_b,none,none,expConv,1.8098802071215097e-5,one node
