timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
30th < 2040,none,EU < SI < si < 57SI,EU < AT < at < 50AT,none,h2Grid,none,costExpExc,10.218123594167688,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < HU < hu < 58HU,EU < AT < at < 51AT,none,h2Grid,none,costExpExc,1.0539497500400956,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < FR < fr < 27FR,EU < BE < be < 28BE,none,h2Grid,none,costExpExc,0.7581240739417354,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < SE < se_1 < 86SE,EU < FI < fi < 74FI,none,h2Grid,none,costExpExc,1.444441909704559,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < IT < it_sar < 98IT,EU < FR < fr_co < 99FR,none,h2Grid,none,costExpExc,0.023064559677458307,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,nonEU < BA < ba < 63BA,EU < HR < hr < 62HR,none,h2Grid,none,costExpExc,5.56158341682683,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < RO < ro < 59RO,EU < HU < hu < 58HU,none,h2Grid,none,costExpExc,63.2419313865905,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < SI < si < 57SI,EU < IT < it_n < 52IT,none,h2Grid,none,costExpExc,50.426738808245744,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,nonEU < AL < al < 70AL,EU < IT < it_s < 55IT,none,h2Grid,none,costExpExc,5.975609936871054,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < SK < sk < 46SK,EU < PL < pl < 43PL,none,h2Grid,none,costExpExc,9.138366863743816,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
30th < 2040,none,EU < ES < es < 06ES,EU < FR < fr < 14FR,none,h2Grid,none,costExpExc,7.231164872647793,low_time_resolution_iteraiton1-1_oil0_hvc0_syngas0_cluster0
