iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
1,-763.7486479694605,-0.7778509849653881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-312.2494633490836,-476.9981432173151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-45.35447291983436,-0.0001650966711887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-133.51292415643536,-8.977296607269703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-815.6724169006516,-1.9701078562475245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-300.49481696291326,-436.1557884454172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-95.4387990623354,-71.1337283383324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-395.5154260386216,-532.4845680254747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-248.48586327772009,-581.9342737942254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-297.5842386901647,-338.38065112094074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-305.25414761126626,-551.4784086740981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-378.9880327936534,-425.9908416127567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-349.8110644970695,-514.2633394670084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-359.6936696342892,-394.4517981939633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-571.6503332418544,-394.1208449661369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-425.394303459053,-548.7831110211854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-383.0035104462634,-584.1682896478883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-293.21196389692426,-456.8938984352127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-433.82047968252095,-299.9461463498768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-310.2296267644541,-464.3623063106008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-376.8639605074971,-508.6421184082381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
