iteration,objectiveValue
1,1157688.951180922
2,1295638.0216860636
3,1186004.1487587346
4,1102602.1641623804
5,1161516.2420482922
6,1118713.1379276034
7,1118054.5668913752
8,1250763.7681801748
9,1148804.7889857178
10,1425340.142692361
11,1429969.1468619057
12,1369343.8484046953
13,1099271.3874125036
14,1422448.9395791192
15,952197.2467018056
16,1147274.3020596723
17,1199737.3681910546
18,1306498.5224052726
19,1230108.0018570917
20,1349390.046377333
21,1258963.0122506174
22,1207311.9894485944
23,935175.2325276128
24,1124658.82326986
25,1506794.4264622878
26,1342185.2069610727
27,1208734.1899200785
28,1471296.747619794
29,1082497.8139927734
30,1056495.9122937392
31,1067544.27566357
32,1168512.8149667052
33,1064468.6457800677
34,1064774.108441052
35,1115685.420596653
36,1280917.7998615329
37,1240154.1217165785
38,1075392.6735348806
39,1131146.552730094
40,1024267.7428709258
41,1207389.109907213
42,1167737.342069746
43,1040662.975787104
44,1031505.3669334186
45,1104493.6334992924
46,1027447.7223707386
47,1138794.7812292655
48,1231830.9691767888
49,1099164.0419855877
50,1057767.4911692385
51,1064011.683546847
52,1197198.2179341847
53,1363535.6595634252
54,1272580.3970698237
55,1146253.614534695
56,980812.8936781394
57,1126913.389921612
58,1459104.356971064
59,1254666.844842971
60,1494989.7131385498
61,1265438.365748054
62,1105826.208908733
63,1023877.785202297
64,1175652.7605021875
65,1146864.6071988095
66,1063080.7410236704
67,1390157.8256371836
68,1151606.734665966
69,1327494.0261618197
70,1081955.5932670191
71,1297463.6993571338
72,1255351.3288313264
73,1380892.992662411
74,1208858.987185381
75,1103504.0817997693
76,1081881.0675243335
77,1109857.1453675749
78,1400134.0499400892
79,1336295.8608703052
80,1041230.1536842833
81,1135442.7941774228
82,1165703.1926032256
83,1267911.1945019746
84,989003.8223868286
85,1111570.2699508006
86,983064.2356932455
87,1277629.3709828926
88,1415637.1755270194
89,1375260.84483107
90,1083266.5298841312
91,1260102.7956801334
92,1389065.3929954015
93,1498353.85719127
94,1236746.5905874404
95,1318861.5592759184
96,1195185.5807969847
97,1507701.9840262798
98,926141.1026563944
99,1114019.631998569
100,1166294.5536629383
101,1463425.3489378088
102,1263135.7694064707
103,1249520.557009508
104,1208499.8069337804
105,1264141.0275445036
106,1189515.0926122707
107,1277640.2546704956
108,1234206.7468290366
109,1139858.9470692412
110,1163875.860399345
111,1223009.7027993912
112,1047057.2162564676
113,1161588.5697208226
114,1243100.2790403794
115,1255713.512095712
116,1243235.5040592405
117,1218391.656634221
118,965636.4445840268
119,1391442.818870813
120,1283001.3941397085
121,1090992.1124148862
122,1158776.5696967267
123,946580.2458773716
124,1157635.2452837965
125,1364294.6264646389
126,1098120.847607271
127,1101251.2319424318
128,945127.2873455798
129,917286.7472473996
130,1217326.2584731253
131,1271511.9557381447
132,1109440.2531331112
133,1391431.4931553449
134,1294000.9260239657
135,1419514.4509614916
136,1311820.9096541554
137,1074569.7862675083
138,1284720.363092142
139,1396873.0983429356
140,1206443.2371050834
141,1368850.406552418
142,1168995.9542205965
143,1490754.6547323652
144,1130074.703529044
145,1151243.0112145192
146,1087864.5489886468
147,1259871.9839533975
148,1278081.2093255897
149,1161839.398299083
150,1027713.817352016
151,1108319.7312867902
152,1232724.9260710825
153,1039213.671359631
154,1411733.768691172
155,1193474.4923965477
156,1037212.7004804432
157,1375579.3526563728
158,1108558.195723495
159,1242721.1768843934
160,1297371.7703913809
161,1194662.88005132
162,1216750.2572385743
163,1068125.6760398075
164,1147296.532946885
165,1277664.533525572
166,1031189.6639011424
167,1358490.7739037068
168,1324136.2643014735
169,934578.2388119324
170,1036225.6188948512
171,1136210.8820625702
172,1208410.510583616
173,1480190.840178021
174,1321910.644873703
175,1269478.8300599304
176,1245007.7882089743
