iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
1,-763.7477311,-0.778222241,-3.50E-05,-3.30E-05,0,-4.22E-05,0,0,-0.000602193,0,-8.19E-05
2,-312.2489607,-476.9978612,0,-2.50E-05,0,0,0,0,-0.00023623,0,0
3,-44.53803414,-0.000384898,-0.000290949,-0.001434328,-2.84E-05,-82.62228173,-3.22E-05,0,-23.28768329,-0.000332802,-0.000597146
4,-133.5129797,-8.34E-05,0,-0.000185775,0,-2.828780462,-0.000116056,0,-1.062045992,0,-0.00010324
5,-815.6718241,-1.970034669,0,0,0,0,0,0,-0.000113165,0,0
6,-300.4940767,-436.1550508,-4.68E-05,-2.23E-05,0,-3.34E-05,0,0,-0.000379134,0,-6.69E-05
7,-93.95222117,-43.0427262,0,-0.020630142,0,-355.4247339,0,-27.35558745,-13.04075178,0,-4.80E-05
8,-395.5143251,-532.4842501,0,-7.43E-05,-1.07E-05,-9.38E-05,0,0,-0.000660709,0,0
9,-248.4843614,-446.3210176,-5.83E-05,-0.061701625,0,-134.6932121,-1.05E-05,-15.05978059,-6.058529735,-6.26E-05,-0.000195166
10,-297.5839648,-338.3804978,0,0,0,0,0,0,-8.19E-05,0,0
11,-305.2538396,-551.4783054,0,-1.05E-05,0,0,0,0,-0.000140903,0,0
12,-378.9879257,-425.9907964,0,0,0,0,0,0,-2.44E-05,0,0
13,-349.8108148,-514.2632562,0,0,0,0,0,0,-0.000139742,0,0
14,-359.6928432,-394.451526,-1.17E-05,-5.90E-05,0,0,0,0,-0.000494518,0,0
15,-571.6451917,-393.64544,-0.000117942,-0.000138066,0,-0.478663074,0,0,-0.000632483,0,-8.68E-05
16,-425.3940245,-548.7829543,0,0,0,0,0,0,-0.000122408,0,0
17,-240.2262075,-262.4175085,-0.000216771,-0.001311055,-3.07E-05,-429.5925519,-0.000131042,-0.269839674,-35.62400081,-4.32E-05,-0.509656692
18,-268.4421721,-361.7462526,-0.000135791,-0.045013036,-9.78E-05,-142.0454812,-0.000111446,0,-19.86165928,0,-0.000256274
19,-433.8231401,-299.9424154,0,0,0,-9.13E-05,0,0,-0.000167696,0,-6.26E-05
20,-310.2287021,-464.361887,-1.10E-05,-8.07E-05,0,-3.49E-05,0,0,-0.00040572,0,-3.37E-05
21,-376.8589649,-508.6408761,-0.000190926,-0.000390191,-2.88E-05,-0.002865069,-9.60E-05,0,-0.00139683,-1.25E-05,-0.000259711
22,-291.7816789,-300.9076287,-0.000128478,-0.000195341,-1.23E-05,-60.48951374,0,0,-0.001123933,-2.45E-05,-0.000283968
23,-320.3298159,-537.0583257,0,-0.039774271,0,-15.24430399,-0.0060615,0,-6.523850694,0,0
24,-134.8524532,-0.777545629,-0.00011398,-0.06017464,0,-224.2589951,-1.40E-05,-32.36742566,-14.40819565,-0.000122131,-0.000194012
25,-424.0374788,-486.234467,0,0,0,0,0,0,-0.000124051,0,0
26,-181.2870191,-337.8838084,-5.98E-05,-0.094039722,-5.69E-05,-322.9786862,-1.810060128,-21.3718411,-65.83107554,0,-0.000223598
27,-173.9200847,-179.9924127,-0.000174472,-0.00035725,-3.79E-05,-184.3047967,0,-0.629429952,-0.002021129,-7.11E-05,-0.000334708
28,-391.6032853,-589.3900051,0,0,0,0,0,0,-0.000196014,0,0
29,-257.7663869,-329.6306576,-0.000263727,-0.001501471,-0.000177908,-191.5741444,-0.007688114,-2.833338315,-16.93258123,-6.37E-05,-20.35203107
30,-309.2750753,-539.7004303,0,0,0,0,0,0,-3.58E-05,0,0
31,-403.4769193,-451.0988094,0,0,0,0,0,0,-3.53E-05,0,0
32,-410.2594244,-384.586495,-2.31E-05,-0.000220781,-3.94E-05,-0.001892949,-7.65E-05,-16.13373603,-0.001139281,-9.80E-05,-0.000190679
