iteration,objectiveValue
1,1157689.2270449202
2,1295638.6218107434
3,1185849.2217068055
4,1102599.2953136873
5,1161516.1704578346
6,1118712.91503434
7,1113647.857929858
8,1250763.6209136152
9,1148098.0229677483
10,1425340.2956573537
11,1429969.1176029996
12,1369343.6032631327
13,1099271.2690132174
14,1422450.248493231
15,952197.349414139
16,1147274.0835586295
17,1195214.8539353646
18,1306032.971071273
19,1230107.9910924172
20,1349389.9408904251
21,1258963.0838362796
22,1207269.672803848
23,935154.0496057993
24,1123044.031026221
25,1506794.4648025658
26,1338461.040941589
27,1207754.9188163956
28,1471296.5725937155
29,1081069.4986711035
30,1056495.5660661834
31,1067544.38625711
32,1168459.091026724
33,1062803.9310802792
34,1064173.418102207
35,1115685.4013399095
36,1280917.320089717
37,1240153.808101986
38,1075336.2455099863
39,1129855.7429622293
40,1024267.5307499376
41,1207388.900801971
42,1167737.4884194855
43,1040507.4915316472
44,1031505.2934247408
45,1104493.881521181
46,1027447.6276625256
47,1138794.991012029
48,1230417.7534614482
49,1098692.1768484882
50,1057767.0539871354
51,1063332.1571220255
52,1197198.5205537144
53,1363535.411804238
54,1272580.1369320543
55,1146253.5935674596
56,978897.5168140768
57,1126105.3734220157
58,1459104.1158493783
59,1254666.8960707495
60,1494989.8738023145
61,1265402.8626744233
62,1105616.0576246118
63,1023878.2417507592
64,1174671.1227275822
65,1146421.32984717
66,1062595.8462488211
67,1390157.2102497288
68,1151606.3788426544
69,1327495.0667330876
70,1081955.625560338
71,1297237.828065954
72,1255350.758435294
73,1380892.722301981
74,1208858.9289803451
75,1103504.1838314948
76,1081373.1702098777
77,1105421.271698531
78,1400134.132797184
79,1336295.5188779067
80,1041229.7674155608
81,1135442.7447351126
82,1165703.6177176172
83,1267911.075110967
84,989004.1055647432
169,933571.1412604016
170,1036225.5400124704
171,1136211.2245716476
172,1208410.5444487196
173,1480191.3848664649
174,1321910.0636566482
175,1267506.5393296748
176,1245007.5320402174
177,1342064.443856501
178,1161620.6025077167
179,1239773.734108674
180,1071305.1496795178
181,1214700.316692032
182,1060125.664445971
183,974224.0241955654
184,1233671.5211968448
185,1136618.8262063337
186,1215350.035980395
187,1166044.7811588822
188,1460037.754543247
189,1254038.697887909
190,1103038.1261649036
191,1208863.104654936
192,1353288.974826593
193,1443501.0496953717
194,1040150.836908786
195,1425320.1897993437
196,1203391.952689609
197,1205393.710523796
198,1343805.914018626
199,1232389.989934808
200,1089510.4590152972
201,1241830.944989744
202,1196511.7772725718
203,1340428.552684086
204,1191029.8219211486
205,1334540.4368567232
206,1254442.8273701875
207,1510337.9196692917
208,1155449.2842588536
209,1204130.7165853423
210,1174711.9254499048
211,1121715.8341226436
212,1354978.4123847685
213,1212399.1334632875
214,1149051.7314971476
215,1163578.3612207517
216,1047851.1010957644
217,1211309.0147469162
218,1475340.3737028218
219,1199087.2502718056
220,1158969.9823454234
221,885960.8311700246
222,998800.034614454
223,1213100.72162848
224,1382009.8563357394
225,1040343.5521286336
226,985963.2912094258
227,1104531.6230696528
228,1248044.09822582
229,1195701.4325432342
230,1018303.2801183932
231,1273864.3495740546
232,1165364.5509231274
233,968566.0486619544
234,1142146.1952058133
235,924357.6317363484
236,1108088.0680735137
237,1131704.5906579525
238,1033489.3545680495
239,1147265.1091836465
240,1327130.4969561256
241,1364066.9850606858
242,1336908.0780595536
243,1340541.0797331284
244,1206473.014388873
245,1121484.4373165371
246,1251703.452453527
247,1388222.296555374
248,1414264.9310509227
249,1316767.465882843
250,1226766.3450946815
251,1061246.072527481
252,1336039.5054891882
253,1174116.316946661
254,1180659.6198065318
255,889604.6506686924
256,1344969.8458852551
257,939690.4477611344
258,1099132.4328839448
259,1184383.653420655
260,1225738.7108326673
261,1374068.5547645134
262,1498861.31879078
263,1272791.5003233743
264,1478418.6783903523
265,1323661.7457929817
266,1268950.0176982766
267,1249543.606809704
268,1247160.0465782145
269,1037676.027674006
270,1505419.9638422604
271,1100458.4488612583
272,1080302.073939417
273,1230778.8184221794
274,1242424.4387138842
275,1162340.3228806984
276,1084540.6087613949
277,944151.4041495452
278,1229819.353245996
279,1085891.8809589574
280,1066207.3815216362
281,1123402.6070439646
282,1113701.1341255123
283,1318549.6210477345
284,1124912.3262438446
285,1055927.3175910225
286,1332891.973338457
287,1211273.7433621546
288,1103226.1069007032
289,1364412.5555100576
290,1182480.8083576644
291,1065543.675886883
292,1290740.796656974
293,1077498.6837185752
294,1083930.6982294093
295,1384863.4286545278
296,1079914.6823895895
297,998375.931319072
298,1264564.5223689673
299,1134350.6628198074
300,975642.4286679784
301,1278384.4913867523
302,1130163.3397890597
303,1143536.924613829
304,1200266.5903759422
305,1132680.084236745
306,1055669.6008476096
307,1026386.4603619652
308,1191722.4664380625
309,1171080.908258932
310,912099.8158176468
311,1157299.0220867407
312,1174355.250814221
313,1176346.227970437
314,1309526.865377036
315,1350226.9690614175
316,978068.3771940965
317,1259757.7178520735
318,1223545.2828292677
319,928155.500168168
320,1079269.7811350368
321,978637.810539614
322,1356978.4650149187
323,1313806.0217629278
324,1457359.5736586456
325,1330571.3898010482
326,1090000.5112487932
327,1370081.763558017
328,1320130.0658834495
329,1144605.9182287687
330,1330489.8795339747
331,1218431.7793850056
332,1385346.7916436198
333,1439069.8564282788
334,1239668.280714397
335,979464.0993361068
336,1278857.7047161595
337,1266743.04351769
338,1297897.6954845614
339,1461916.534894133
340,1067170.9203402488
341,1385102.2808388618
342,1219354.177163284
343,1299534.992307533
344,1283203.7692433305
345,1328440.5792350168
346,1090874.2590012725
347,1171582.889498709
348,1341447.7384732715
349,1336496.150413741
350,1375959.9050037076
351,1392086.8343960035
352,1169374.393397644
353,1228582.149217804
354,1138110.619546799
355,1234060.7679859158
356,1191737.979648173
357,1235684.196685752
358,1181216.4278964654
359,1216176.373222501
360,1105418.8716013415
361,918054.9747842286
362,1361660.0613910782
363,1134851.438374188
364,1009096.7919817338
365,1022391.2458745424
366,1015957.1832697502
367,1230322.7936570933
368,1248786.9571813568
369,1477586.1665788058
370,1205482.171382719
371,1174846.333100137
372,1100611.5299794944
373,1181956.9929530194
374,1251262.4666360226
375,1037793.6577429366
376,1296005.346896997
377,1134789.788404461
378,1221544.4646086306
379,1318453.057851247
380,1007866.7695931548
381,1022981.3949103712
382,1241692.0456283276
383,1393132.7479814754
384,1166748.8482083452
385,1054705.029732509
386,1242347.9278304256
387,1266860.9674600929
388,1471211.2928444652
389,895018.258656329
390,1194152.4272536635
391,1095883.2888675537
392,1288052.2337939555
393,1316939.5636358918
394,1172885.7346899272
395,1106337.0989490252
396,1468665.48254223
397,1026552.7921037928
398,1119912.0522054594
399,1299751.5136676913
400,1249311.889743174
401,954402.581071132
402,1233793.1126578024
403,1143315.4971523783
404,1083852.1996318558
405,1090205.1348490708
406,1095693.557536738
407,1220253.843432142
408,1351184.382673923
409,1058185.667645676
410,1246398.4341234243
411,1138176.8638571156
412,978407.3413005344
413,1422104.6038052368
414,1441586.1450202106
415,1147216.2677548549
416,1140925.071759524
417,1217366.7555952296
418,1084019.9097746226
419,1014769.6624731874
420,1233874.043561038
421,1153877.0505607056
422,1031126.5135470884
423,1070241.9647511805
424,1240727.5926578336
425,1221305.475279836
426,1152677.402083852
427,1067624.829299819
428,1094176.711361428
429,1098467.1393577373
430,1072754.4811943138
431,1307861.284570596
432,1184362.0487521472
433,1282262.5461516636
434,1076401.8171294292
435,1017007.656206206
436,1362829.692114258
437,1114254.742243644
438,1032535.0840462634
439,867621.5755473012
440,1159250.5148915758
441,1146905.8924706203
442,1070572.888627772
443,1105257.5297500475
444,963190.311561098
445,1075067.1342063283
446,1054531.3073623064
447,1265394.590363563
448,1237192.2308260018
449,1042647.2906382304
450,1326958.4762259107
451,1268049.7018581317
452,1064056.791301227
453,1172071.7752792593
454,984368.700422736
455,1318586.8802551357
456,1232121.4269027798
457,1284495.1084535082
458,1191936.20790298
459,1447414.974470851
460,1055432.8455590094
461,1043090.8199665458
462,1453203.591255752
463,1124249.0706143624
464,1226339.5594798368
465,1309557.634060241
466,1385900.7344342298
467,1473247.4125924353
468,1115452.9284255556
469,1235481.362483142
470,1057580.55073159
471,1038382.9048444752
472,1028390.181521818
473,1242727.1824080285
474,1133287.7968997369
475,1213050.3216270471
476,1092702.0140366617
477,1363166.9809938702
478,1267411.788097839
479,1035436.0283645112
