iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
2,-440.6274772875007,-237.99999393206403,-0.0001332491765344,-0.0007820938527609,0.0,-110.61752536284648,0.0,0.0,-0.000349770436145,0.0,-0.0002421849502997
3,-414.4999126489065,-0.0001467233334074,-0.0001425296354161,-0.0003118782596111,0.0,-37.68011464403955,0.0,0.0,-0.0005273844563497,0.0,-0.0003621405766546
4,-414.49997911154793,-9.020193459445167e-05,-1.1115800849522456e-05,-0.0001197630708354,0.0,-0.3431490778142774,-7.318673927280424e-05,0.0,-0.001556986480966,0.0,-5.1422527973493616e-05
6,-414.4999291642414,-238.0000037600372,-0.0001670849167459,-0.0001407944067819,0.0,-7.242367910443555,0.0,-76.90614518649296,-0.000330969672231,0.0,-0.0002455265749433
7,-414.4999651837552,-0.0002066852626787,-4.740914566395863e-05,-8.30091112008416e-05,0.0,-275.73277133751907,0.0,-13.956906772136406,-0.0002716757506026,0.0,-0.000171837539987
8,-566.8340769973627,-238.00000069545388,-3.355605641103885e-05,-0.0002161713667043,0.0,-37.21740675885778,0.0,-85.94652668245989,-0.00061511231563,0.0,-0.0001408484317158
9,-414.49996388675225,-237.99997725383307,-0.0003050229880848,-0.0003793067822418,-2.3619324539067487e-05,-226.4060294774285,-4.58891432603855e-05,-17.51914471408166,-0.0015477966651135,-2.433258534284366e-05,-0.0006076661704471
10,-414.4999246724828,-221.46440694911485,-1.0282225223561385e-05,0.0,0.0,0.0,0.0,0.0,-2.87004990700368e-05,0.0,0.0
11,-618.7320397785863,-238.000002531293,0.0,0.0,0.0,0.0,0.0,0.0,-9.67594290928807e-05,0.0,0.0
12,-566.9785797339333,-238.0000010977858,0.0,0.0,0.0,0.0,0.0,0.0,-1.1694890660444875e-05,0.0,0.0
13,-626.073672672939,-238.00000242913612,-1.0700079145822206e-05,-2.184892967693239e-05,0.0,0.0,0.0,0.0,-0.0001799251733728,0.0,0.0
14,-516.1449930375423,-237.99997761624036,0.0,0.0,0.0,0.0,0.0,0.0,-8.896978431079469e-05,0.0,0.0
15,-721.9553289678369,-237.99997848121757,-1.2313458731538702e-05,-1.0716892428184574e-05,0.0,-5.094739676175436,0.0,-0.4188504140884143,-0.0003839897722037,0.0,-1.054150468583193e-05
16,-736.1765383865726,-237.9999994658349,-1.075939498511514e-05,0.0,0.0,0.0,0.0,0.0,-0.0001351432331702,0.0,-7.687278133881788e-05
17,-414.49997856851735,-231.69048786213884,-5.026137020333825e-05,-0.0001576977813612,0.0,-322.7277061682661,0.0,0.0,-0.0004575133378261,0.0,-0.000244731456633
18,-414.4999827029528,-238.00000491263896,-0.0002130720272286,-0.0003227007439374,-1.0994346246823153e-05,-143.2169630348704,0.0,0.0,-0.0004839806769464,0.0,-0.0005271627846777
19,-495.7641266412852,-237.99987821857692,-0.0001251032801079,-0.000105748580396,0.0,-0.0006369155266364,0.0,0.0,-0.0003276791249532,0.0,-0.0001954836813709
20,-432.5237867133553,-238.0000024665712,-0.0001009897177082,-0.0007399053977471,0.0,-104.06569361233268,0.0,0.0,-0.0002789105592559,0.0,-0.0003493899395392
21,-414.4999773737008,-237.99994103703148,-0.0005508760212147,-0.0006528850695492,-4.9593737119962986e-05,-127.60379997930995,-0.0001353531538575,0.0,-0.0008914656085485,0.0,-0.00084792777202
22,-414.4999488650752,-188.0484454308732,-2.164992051527032e-05,-3.483709153428096e-05,0.0,-55.56070898673906,0.0,0.0,-0.0001462962319831,0.0,-7.192730580643727e-05
23,-414.4999673984006,-237.99998758475655,-4.668203961888112e-05,-7.753741400799457e-05,0.0,-226.70061485180932,-3.670476210552388e-05,0.0,-0.001188255658037,0.0,-8.106504683974034e-05
24,-414.4999628173798,-0.0002198690840403,-7.361677559598995e-05,-6.399181402662827e-05,0.0,-178.49326859328042,0.0,-28.68541692558915,-0.0004384481474703,0.0,-0.0001893576120335
25,-672.27153098967,-238.00000235186428,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001809293350561,0.0,0.0
26,-414.49993433597615,-237.9996818106777,-0.0003641467910041,-0.0777302513149537,-0.0001117073415864,-236.9058569781321,-0.0111103054342255,-19.06734292118076,-22.681776941010234,0.0,-0.0005923845377118
27,-414.4999454184162,-76.92371369332562,-0.0002777386133612,-0.0002240740851052,-1.2078064742839386e-05,-170.97487519318037,0.0,0.0,-0.0004011117466105,0.0,-0.0004104036791315
28,-732.4706279679435,-237.99999997150584,-3.524834127042695e-05,-3.179962509592317e-05,0.0,-10.522155398162518,0.0,0.0,-0.0002560841245205,0.0,0.0
29,-414.4999481142484,-237.9999579301896,-7.344060576529521e-05,-0.0002701127152248,0.0,-171.27371959354144,0.0,-2.543793149128543,-0.0005407827348404,0.0,-0.0023801021763944
30,-456.2265586114312,-238.00000052585423,-4.592785030433852e-05,-1.6589675027074412e-05,0.0,-0.0093680025215905,0.0,-16.13376911410372,-0.0001944113622265,0.0,-0.0001697327456732
31,-616.5755062379244,-237.99999587359704,0.0,0.0,0.0,0.0,0.0,0.0,-3.970660005268156e-05,0.0,0.0
32,-431.9839413888823,-237.9999889125105,-4.067312975299912e-05,-0.0003489504845954,-2.6774935634250928e-05,-30.04475012025777,-6.546763388487169e-05,-110.95255857104712,-0.0008484402977349,-6.910493737545755e-05,-0.0004533483083361
33,-414.4999732298772,-0.0001283091875353,-3.154919437438783e-05,-0.0001770538280158,-8.360746538503456e-05,-291.8718542091713,0.0,0.0,-0.4387268550936181,-7.263812783131157e-05,-0.0001860789958827
34,-414.4999637095583,-237.99998315184095,-3.759349879207829e-05,-5.783773035357157e-05,0.0,-258.0565923698365,0.0,0.0,-0.0004084622164592,0.0,-0.0002778405893214
