iteration,objectiveValue
2,1303347.8615435765
3,1192796.3582037757
4,1106089.286776344
6,1121562.1804875024
7,1118681.8984639323
8,1257235.963383845
9,1150125.3156732807
10,1428638.6495691277
11,1441661.7413002213
12,1377205.462066846
13,1111067.1228941977
14,1428107.2604069363
15,952424.837769406
16,1157973.669562939
17,1196531.654365542
18,1307872.591813351
19,1230227.9265938809
20,1354464.920061346
21,1262233.049840527
22,1209101.9178614723
23,938326.6299129972
24,1126734.2303172876
25,1519291.0706593413
26,1339810.4671476
27,1210803.1790520437
28,1482944.5592736816
29,1083108.3146808415
30,1065603.5727493735
31,1075921.1926594377
32,1169834.868188765
33,1064028.3840009242
34,1067497.5228395213
35,1125883.8922180084
36,1282558.525930934
37,1246514.4816958574
38,1083524.285079408
39,1130637.6676149624
40,1037248.8388609728
41,1217179.2540861382
42,1169816.1847673403
43,1046034.279343017
44,1034868.07074941
45,1113962.5649078018
46,1035492.4437171264
47,1148499.0458148485
48,1231451.6084402918
49,1099709.859854752
50,1062829.598945111
51,1065355.6487230507
52,1211596.2124435073
53,1372092.1234790946
54,1278419.3368788117
55,1162284.0744789238
56,979413.9986231886
57,1128452.291503354
58,1462807.5243473365
59,1259698.157605525
60,1501630.807095064
61,1269412.3033485804
62,1106650.950480905
63,1031673.6538986524
64,1175949.2177909045
65,1149185.2900801518
66,1063074.7930454125
67,1394891.4478555352
68,1160164.9568741403
69,1332494.3130652553
70,1091597.8069504383
71,1299468.2365528084
72,1260337.89964647
73,1384997.9515320193
74,1210618.1275064626
75,1106027.164835243
76,1084779.5900872948
77,1107034.8775202213
78,1405566.7164867567
79,1336930.2003862076
80,1047668.123623144
81,1139243.447497304
82,1181252.6953098867
83,1268298.5806401928
84,993009.6605551172
85,1117244.9164344957
86,983025.6457148264
87,1283694.4115932232
88,1426805.8496067233
89,1383340.2668457944
90,1084931.683892785
91,1262439.215992266
92,1391300.716214861
93,1513570.3993607843
94,1239849.010151545
96,1195664.179881112
97,1519158.7540697155
98,925652.9066292896
99,1122587.1009288188
100,1169244.664791159
102,1271931.6953038524
103,1255507.6892311624
104,1214295.719033844
105,1270520.1185731343
106,1197037.9775026538
107,1289631.6707678814
108,1235922.4024980478
109,1138667.4083391088
110,1164778.7877171396
111,1230925.925782347
113,1158869.5048830567
114,1246390.8696997624
115,1260337.1874271438
117,1216821.701681549
118,966664.6209722904
119,1405272.0169208003
120,1283958.7400484222
121,1101893.0847151824
123,953518.6673024732
124,1157762.043920137
125,1366002.4182080275
126,1101208.0803710597
127,1100941.2740488166
128,943807.4437675254
129,918004.8308922248
130,1225771.756180222
131,1283923.0697252925
133,1404235.2460087058
135,1428505.5982767711
136,1313739.2849339698
137,1073594.5414901257
138,1284994.7470699633
139,1398280.531553587
140,1208714.2572640188
141,1370795.6660743535
142,1176911.0721021078
143,1493904.9646808296
144,1134262.1339997596
145,1161093.0542347445
146,1100386.0467247898
147,1265756.1812175603
148,1284612.1573329438
149,1176875.3394099325
150,1027567.7478782416
151,1111672.0895792043
152,1243627.1682066333
153,1040661.9952029476
154,1415057.9099126903
155,1200923.3729373068
156,1037391.8573638943
157,1379081.6253154904
158,1115108.3326012015
159,1252562.7704737224
160,1309381.43723821
161,1199760.1834577469
162,1216752.123348751
163,1064816.2847216008
164,1148751.1338671655
165,1281442.5585763706
166,1039365.9993075496
167,1366058.0468384284
168,1328677.328543415
169,936883.2173219832
170,1036238.9530108008
171,1151184.9615236009
172,1217772.4009154544
173,1489783.4526554234
174,1325180.059187055
175,1268838.5027752698
176,1248905.9264091454
177,1345407.7151283885
178,1181330.8526727376
179,1251642.9885448087
180,1077289.182410685
181,1218013.7519351528
182,1061783.534356388
184,1240532.8190082482
185,1152140.0444814377
186,1234547.045099314
188,1470034.718665555
189,1259552.7962176832
190,1115075.9767953192
191,1213066.779942673
192,1358571.5926211297
193,1452007.8834268702
194,1042256.838499497
195,1443452.2540757535
196,1206799.8493514303
197,1206635.1367288732
198,1352309.7238277565
199,1233549.101745894
200,1090896.5183895067
201,1249138.8337904993
202,1200706.0160665992
203,1356679.5361644565
204,1200612.3002756224
205,1339330.911032703
206,1263631.9366005904
207,1517905.3774224257
208,1159024.7999350426
210,1179321.350054536
211,1140333.227693675
212,1359527.552055791
213,1215801.4150626324
214,1150690.1277274932
215,1171249.488699159
216,1049327.330408091
217,1221182.7855202528
218,1477692.5024359066
219,1203100.2352291667
220,1163405.6331320512
221,888960.9391722764
222,1003711.364520202
224,1389788.0798567848
225,1041921.487708719
226,990928.0534677644
227,1106056.1382526776
228,1254726.9951155535
229,1199259.0883988985
230,1019341.8514440076
231,1284602.2170663555
