timestep_4,region_4,technology_3,parameter,value
hh0001,70AL,heatpumpAirSpace,effConv,2.903162642
hh0002,70AL,heatpumpAirSpace,effConv,3.528608324
hh0003,70AL,heatpumpAirSpace,effConv,3.493346051
hh0004,70AL,heatpumpAirSpace,effConv,3.81225972
hh0005,70AL,heatpumpAirSpace,effConv,3.954246652
hh0006,70AL,heatpumpAirSpace,effConv,3.877151117
hh0007,70AL,heatpumpAirSpace,effConv,3.959115192
hh0008,70AL,heatpumpAirSpace,effConv,4.024242436
hh0009,70AL,heatpumpAirSpace,effConv,4.06
hh0010,70AL,heatpumpAirSpace,effConv,4.06
hh0011,70AL,heatpumpAirSpace,effConv,4.06
hh0012,70AL,heatpumpAirSpace,effConv,4.06
hh0013,70AL,heatpumpAirSpace,effConv,4.06
hh0014,70AL,heatpumpAirSpace,effConv,4.06
hh0015,70AL,heatpumpAirSpace,effConv,4.06
hh0016,70AL,heatpumpAirSpace,effConv,4.06
hh0017,70AL,heatpumpAirSpace,effConv,4.06
hh0018,70AL,heatpumpAirSpace,effConv,4.052449334
hh0019,70AL,heatpumpAirSpace,effConv,3.939042038
hh0020,70AL,heatpumpAirSpace,effConv,3.97811799
hh0021,70AL,heatpumpAirSpace,effConv,3.350407964
hh0022,70AL,heatpumpAirSpace,effConv,3.839533628
hh0023,70AL,heatpumpAirSpace,effConv,2.684165177
hh0024,70AL,heatpumpAirSpace,effConv,3.505780081
hh0001,79NO,heatpumpAirSpace,effConv,2.854470115
hh0002,79NO,heatpumpAirSpace,effConv,3.534841849
hh0003,79NO,heatpumpAirSpace,effConv,3.451613652
hh0004,79NO,heatpumpAirSpace,effConv,3.649714008
hh0005,79NO,heatpumpAirSpace,effConv,3.738438379
hh0006,79NO,heatpumpAirSpace,effConv,3.498938616
hh0007,79NO,heatpumpAirSpace,effConv,3.658100518
hh0008,79NO,heatpumpAirSpace,effConv,3.874220385
hh0009,79NO,heatpumpAirSpace,effConv,4.046387673
hh0010,79NO,heatpumpAirSpace,effConv,4.06
hh0011,79NO,heatpumpAirSpace,effConv,4.06
hh0012,79NO,heatpumpAirSpace,effConv,4.06
hh0013,79NO,heatpumpAirSpace,effConv,4.06
hh0014,79NO,heatpumpAirSpace,effConv,4.06
hh0015,79NO,heatpumpAirSpace,effConv,4.06
hh0016,79NO,heatpumpAirSpace,effConv,4.06
hh0017,79NO,heatpumpAirSpace,effConv,4.029406867
hh0018,79NO,heatpumpAirSpace,effConv,4.008256869
